ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,4962156281856.0,31.37366,25.386618,29.06,0.6168,0.5,114.28799999999998,6.555,62.966,65.596,1.0,4962.156281856,1.55,35.11,-20.21,0.16
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4362981605376.0,27.289854,9.054259,26.679,1.4032,0.25,38.884997,20.026,37.919000000000004,36.120999999999995,1.0,4362.981605376,1.16,29.4,-20.37,0.17
AAPL,Apple Inc.,Technology,United States,USD,4342023192576.0,35.83394,40.720387,27.243,2.356,0.37,141.47099,79.548,27.152001999999996,32.275,1.0,4342.023192576,0.77,22.67,-13.8,0.16
MSFT,Microsoft Corporation,Technology,United States,USD,2899615154176.0,23.220703,6.9982247,15.976,1.225,0.92,34.013999,30.271,39.341998000000004,46.326,1.0,2899.615154176,0.61,25.49,-33.91,0.06
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2597949538304.0,32.115692,5.8771567,17.249,1.8344,,24.285,53.3,12.224,13.139999999999999,1.0,2597.949538304,1.18,30.23,-21.74,0.15
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2183868579840.0,36.14335,64.40986,5.151,1.2745,0.93,36.21,18.447,46.505,58.105,1.0,2183.86857984,1.93,36.81,-18.14,0.22
AVGO,Broadcom Inc.,Technology,United States,USD,1834380296192.0,63.941956,20.920782,44.635,0.6762,0.7,37.280998,74.018,38.848,48.988,1.0,1834.380296192,1.89,45.73,-28.67,0.16
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1499097071616.0,359.59457,18.228525,132.588,5.2543,,4.901,18.738,3.946,4.202999999999999,1.0,1499.097071616,1.77,44.57,-29.93,0.16
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1442915942400.0,20.655159,5.920344,13.252,0.825,0.37,32.930002,35.608,32.836999999999996,40.617,1.0,1442.9159424,1.21,35.66,-33.3,0.13
MU,"Micron Technology, Inc.",Technology,United States,USD,1123076407296.0,46.90862,15.503059,27.226,0.3052,0.07,39.823002,14.902,41.486000000000004,67.624,1.0,1123.076407296,2.85,69.9,-30.28,0.16
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1047778033664.0,14.449435,0.0009608959,-2.25,,,10.499,17.669,19.305,14.352,1.0,1047.778033664,0.06,14.41,-9.42,0.07
LLY,Eli Lilly and Company,Healthcare,United States,USD,1035267080192.0,41.197655,33.248844,29.033,1.5234,0.61,107.45899999999999,139.015,34.986,49.386,1.0,1035.267080192,0.54,38.08,-23.64,0.09
WMT,Walmart Inc.,Consumer Defensive,United States,USD,958948507648.0,42.280704,9.639229,22.981,4.7469,0.82,24.132,74.816,3.1350000000000002,4.2150001999999995,1.0,958.948507648,0.02,23.74,-15.75,0.03
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,839999946752.0,14.999521,2.4419103,,1.641,1.94,16.465001,,33.936,43.741,1.0,839.999946752,0.82,21.74,-15.47,0.22
AMD,"Advanced Micro Devices, Inc.",Technology,United States,USD,796466872320.0,163.3612,12.351127,106.055,1.0883,,8.062999999999999,6.005,13.374,14.396,1.0,796.46687232,2.69,66.82,-27.76,0.16
ASML,ASML Holding N.V. - New York Re,Technology,Netherlands,USD,732093153280.0,63.676834,1694.8934,3200.805,2.5627,0.51,52.236000000000004,12.989,29.713,36.020002,1.0,732.09315328,2.18,42.86,-17.85,0.24
XOM,Exxon Mobil Corporation,Energy,United States,USD,607649267712.0,24.721756,2.3618877,11.668,1.2501,2.74,9.873,18.261,7.7649995999999994,6.3549999999999995,1.0,607.649267712,-0.38,24.61,-15.69,-0.05
V,Visa Inc.,Financial Services,United States,USD,606751293440.0,27.81604,17.114578,20.297,1.4174,0.83,60.349,67.233,51.679003,67.34599999999999,1.0,606.75129344,0.39,22.41,-19.97,0.12
INTC,Intel Corporation,Technology,United States,USD,587840946176.0,,5.2739325,43.296,,,-2.911,36.028,-5.904,6.8790000000000004,1.0,587.840946176,2.36,73.76,-24.17,0.14
JNJ,Johnson & Johnson,Healthcare,United States,USD,573712039936.0,27.616453,7.0647693,17.685,3.0997,2.25,26.416,67.73,21.834,27.407999999999998,1.0,573.712039936,0.08,16.97,-10.96,0.06
ORCL,Oracle Corporation,Technology,United States,USD,529480089600.0,31.523973,15.780902,22.167,1.0147,0.99,53.376000000000005,362.758,25.368000000000002,36.259,1.0,529.4800896,1.41,64.82,-58.25,0.06
CSCO,"Cisco Systems, Inc.",Technology,United States,USD,480184991744.0,40.475082,9.824208,29.197,1.6487,1.41,25.229000000000003,67.541,19.685,24.992001,1.0,480.184991744,0.88,31.02,-13.57,0.14
LRCX,Lam Research Corporation,Technology,United States,USD,453356978176.0,68.65909,42.830814,57.639,1.8738,0.32,66.762,35.282,30.938998,35.042998,1.0,453.356978176,2.78,52.99,-20.01,0.24
AMAT,"Applied Materials, Inc.",Technology,United States,USD,438773743616.0,51.93985,18.351597,42.44,1.6529,0.43,39.692003,30.399,29.314,31.896,1.0,438.773743616,2.31,49.17,-21.37,0.22
COST,Costco Wholesale Corporation,Consumer Defensive,United States,USD,432697835520.0,49.1284,26.173346,31.254,4.7996,0.6,29.152,60.257,3.01,3.6730002999999996,1.0,432.69783552,-0.04,18.86,-15.14,0.01
MA,Mastercard Incorporated,Financial Services,United States,USD,429872381952.0,28.187138,64.21726,20.612,1.5048,0.71,232.076,282.059,45.876,60.836,1.0,429.872381952,0.34,22.41,-20.91,0.1
CAT,"Caterpillar, Inc.",Industrials,United States,USD,413441163264.0,44.613815,22.157684,31.135,2.0308,0.71,51.331,230.793,13.328000000000001,18.180001,1.0,413.441163264,1.64,35.3,-13.88,0.24
ABBV,AbbVie Inc.,Healthcare,United States,USD,397122043904.0,109.643906,-59.66817,15.4,0.6201,3.08,,,5.7860000000000005,32.156,1.0,397.122043904,0.17,24.37,-17.32,0.08
BAC,Bank of America Corporation,Financial Services,United States,USD,391447937024.0,13.687345,1.42665,,0.9749,2.05,10.644,,28.956,35.955999999999996,1.0,391.447937024,0.73,21.59,-17.93,0.2
CVX,Chevron Corporation,Energy,United States,USD,370078711808.0,32.42932,2.0000863,10.901,0.765,3.75,6.638,23.989,5.9270002,7.312,1.0,370.078711808,-0.32,22.14,-13.99,-0.05
UNH,UnitedHealth Group Incorporated,Healthcare,United States,USD,368297934848.0,30.538403,3.762129,19.761,1.4119,2.28,12.175999599999999,73.982,2.6780000000000004,8.0469996,1.0,368.297934848,0.47,40.18,-28.96,0.08
ARM,Arm Holdings plc,Technology,United Kingdom,USD,365528612864.0,397.94186,43.94889,340.395,2.6719,,11.9540006,5.926,18.374,29.53,1.0,365.528612864,2.89,68.32,-41.47,0.19
KO,Coca-Cola Company (The),Consumer Defensive,United States,USD,355083878400.0,25.95283,10.55911,23.213,4.2801,2.54,43.372001999999995,124.943,27.800000000000004,35.055,1.0,355.0838784,-0.14,16.8,-7.87,-0.0
GE,GE Aerospace,Industrials,United States,USD,347677523968.0,41.28536,18.684935,31.123,7.6701,0.59,45.428002,116.527,17.863001,20.207000999999998,1.0,347.677523968,1.25,31.67,-20.85,0.2
PG,Procter & Gamble Company (The),Consumer Defensive,United States,USD,345424363520.0,21.687134,6.4269314,14.886,4.1839,2.86,31.112000000000002,67.651,19.162000000000003,23.047,1.0,345.42436352,0.08,18.82,-15.52,0.06
NFLX,"Netflix, Inc.",Communication Services,United States,USD,342211592192.0,26.21613,10.998781,24.488,1.6107,,48.494998,53.788,28.521,32.303002,1.0,342.211592192,0.22,33.17,-43.35,0.03
MS,Morgan Stanley,Financial Services,United States,USD,335425404928.0,19.262682,3.2134547,,2.4846,1.94,16.387999999999998,502.246,24.753,40.616,1.0,335.425404928,1.24,25.91,-18.83,0.24
HD,"Home Depot, Inc. (The)",Consumer Cyclical,United States,USD,325070028800.0,23.187056,23.42699,15.522,1.7981,2.92,128.38,459.356,8.411,11.926,1.0,325.0700288,0.74,23.82,-28.81,0.18
KLAC,KLA Corporation,Technology,United States,USD,315026538496.0,685.125,54.065372,54.052,2.2419,0.43,94.975996,105.4,35.661998,41.215,1.0,315.026538496,15.06,1038.28,-90.11,0.07
PLTR,Palantir Technologies Inc.,Technology,United States,USD,314239647744.0,147.2809,37.185814,151.88,1.8672,,32.586999999999996,2.477,43.673,46.183997,1.0,314.239647744,1.41,50.97,-38.19,0.1
HSBC,"HSBC Holdings, plc.",Financial Services,United Kingdom,USD,311137140736.0,14.995041,7.1341786,,0.8518,4.35,11.611,,34.977000000000004,50.684,1.0,311.137140736,1.36,27.12,-16.28,0.25
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,United States,USD,305521491968.0,18.908892,2.9068885,,1.5468,1.8,14.548,678.596,29.363,38.599998,1.0,305.521491968,1.44,28.57,-19.42,0.25
MRK,"Merck & Company, Inc.",Healthcare,United States,USD,298256007168.0,34.016903,6.500861,11.577,5.5378,2.85,18.944,106.936,13.586001,38.604,1.0,298.256007168,0.39,27.19,-11.37,0.12
NVS,Novartis AG,Healthcare,Switzerland,USD,293693489152.0,22.051575,7.625842,14.581,4.019,3.2,34.929,120.734,23.921,30.479,1.0,293.693489152,0.54,20.99,-12.65,0.17
AZN,AstraZeneca PLC,Healthcare,United Kingdom,USD,282691174400.0,27.451807,5.9652452,15.418,1.3681,1.77,23.482999,71.815,17.188999,27.943,1.0,282.6911744,0.56,26.04,-15.5,0.13
PM,Philip Morris International Inc,Consumer Defensive,United States,USD,281740705792.0,25.460564,-30.361103,17.943,2.5532,3.21,,,26.741999999999997,36.044,1.0,281.740705792,-0.01,27.77,-20.64,0.02
SNDK,Sandisk Corporation,Technology,United States,USD,278632366080.0,64.32513,20.212166,48.847,,,39.297,1.503,34.185,69.98299999999999,1.0,278.63236608,3.44,99.82,-31.34,0.16
RY,Royal Bank Of Canada,Financial Services,Canada,USD,276925677568.0,18.066183,2.9476178,,2.5281,2.58,16.203,,33.687,45.286998,1.0,276.925677568,0.66,15.19,-10.04,0.23
TXN,Texas Instruments Incorporated,Technology,United States,USD,270388576256.0,50.873287,16.114336,30.652,1.3458,2.01,32.347,83.741,29.108,37.824002,1.0,270.388576256,1.04,40.27,-29.57,0.14
BABA,Alibaba Group Holding Limited,Consumer Cyclical,China,USD,270358413312.0,17.310291,1.6691712,2.664,0.3997,0.91,9.2159994,25.014,10.12,1.01499995,1.0,270.358413312,1.33,44.02,-40.48,0.12
IBM,International Business Machines,Technology,United States,USD,258327478272.0,24.32301,7.834279,19.049,2.5434,2.48,35.772,211.169,15.606,13.809,1.0,258.327478272,0.94,39.59,-30.96,0.11
DELL,Dell Technologies Inc.,Technology,United States,USD,253701865472.0,31.21611,-180.9755,19.484,0.6066,0.68,,,6.2750004,8.857000600000001,1.0,253.701865472,1.79,66.13,-32.34,0.12
WFC,Wells Fargo & Company,Financial Services,United States,USD,252159606784.0,12.735703,1.5490469,,1.4554,2.2,12.028,,26.741999999999997,29.447000000000003,1.0,252.159606784,0.75,26.78,-23.02,0.18
RTX,RTX Corporation,Industrials,United States,USD,248072552448.0,34.62594,3.7428126,18.472,2.4311,1.56,11.571,57.229,8.0290005,13.182001,1.0,248.072552448,0.53,24.34,-19.32,0.13
MRVL,"Marvell Technology, Inc.",Technology,United States,USD,245565095936.0,96.79655,13.493077,91.076,1.4275,0.1,16.028000000000002,28.97,28.986,14.479999,1.0,245.565095936,2.56,71.2,-26.36,0.16
GEV,GE Vernova Inc.,Industrials,United States,USD,243672596480.0,26.47562,17.502558,69.926,1.498,0.23,75.708,24.925,23.809999,5.461,1.0,243.67259648,1.84,49.16,-24.57,0.18
