ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,5020770631680.0,31.744255,25.686493,29.478,0.5599,0.49,114.28799999999998,6.555,62.966,65.596,1.0,5020.77063168,1.61,35.9,-20.21,0.16
AAPL,Apple Inc.,Technology,United States,USD,4813633880064.0,39.677963,45.14325,30.085,2.6279,0.33,141.47099,79.548,27.152001999999996,32.275,1.0,4813.633880064,0.73,24.58,-13.8,0.14
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4236123045888.0,26.520245,8.785494,26.245,1.3859,0.25,38.884997,20.026,37.919000000000004,36.120999999999995,1.0,4236.123045888,1.19,30.56,-20.37,0.17
MSFT,Microsoft Corporation,Technology,United States,USD,2954659889152.0,23.703814,7.1310754,16.274,1.2408,0.9,34.013999,30.271,39.341998000000004,46.326,1.0,2954.659889152,0.52,27.58,-34.5,0.05
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2662922452992.0,29.646706,6.024141,17.847,1.3118,,24.285,53.3,12.224,13.139999999999999,1.0,2662.922452992,1.14,31.23,-21.74,0.15
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2202228752384.0,36.89053,88.44935,4.472,1.0187,0.94,39.969003,15.174,49.923,60.344005,1.0,2202.228752384,2.07,39.82,-18.14,0.21
AVGO,Broadcom Inc.,Technology,United States,USD,1838804762624.0,64.30948,20.971243,44.77,0.4251,0.69,37.280998,74.018,38.848,48.988,1.0,1838.804762624,1.89,47.29,-28.67,0.14
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1634262319104.0,23.402761,6.7054462,15.049,0.9421,0.33,32.930002,35.608,32.836999999999996,40.617,1.0,1634.262319104,1.2,38.81,-33.3,0.12
SPCX,Space Exploration Technologies ,Industrials,United States,USD,1627539111936.0,,20.74211,184.869,,,,73.597,-44.998002,-41.627997,1.0,1627.539111936,3.54,108.89,-43.3,0.11
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1423156445184.0,354.14017,17.30511,122.574,4.6312,,4.901,18.738,3.946,4.202999999999999,1.0,1423.156445184,1.87,44.87,-29.93,0.17
SKHY,SK hynix Inc.,Technology,South Korea,USD,1220524507136.0,24.99128,,-0.342,0.5488,,61.172000000000004,13.282,56.88999999999999,71.535003,1.0,1220.524507136,,,-22.05,0.08
MU,"Micron Technology, Inc.",Technology,United States,USD,1096437465088.0,21.949356,15.113097,14.039,0.1272,0.06,66.63799999999999,6.33,55.906,80.370003,1.0,1096.437465088,3.21,77.37,-30.28,0.15
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1056103399424.0,14.572917,0.000968531,-2.25,,,10.499,17.669,19.305,14.352,1.0,1056.103399424,0.02,14.58,-9.42,0.05
LLY,Eli Lilly and Company,Healthcare,United States,USD,1048161746944.0,41.829536,33.66297,29.292,1.5367,0.6,107.45899999999999,139.015,34.986,49.386,1.0,1048.161746944,0.45,38.66,-23.18,0.08
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,917690449920.0,14.785011,2.5955777,,1.7458,1.77,17.788999999999998,,34.921002,50.394000000000005,1.0,917.69044992,0.73,22.28,-15.47,0.21
