ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
AAPL,Apple Inc.,Technology,United States,USD,4994876047360.0,41.221817,46.84297,31.033,2.7109,0.32,141.47099,79.548,27.152001999999996,32.275,1.0,4994.87604736,0.73,24.85,-13.8,0.13
NVDA,NVIDIA Corporation,Technology,United States,USD,4771778920448.0,30.216257,24.41264,28.488,0.5412,0.51,114.28799999999998,6.555,62.966,65.596,1.0,4771.778920448,1.61,36.23,-20.21,0.15
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4081251516416.0,16.75251,6.5567036,22.465,1.2705,0.27,48.676,18.859,54.771,34.033,1.0,4081.251516416,1.24,31.56,-21.05,0.16
MSFT,Microsoft Corporation,Technology,United States,USD,2921974988800.0,23.399763,7.05219,16.097,1.2035,0.94,34.013999,30.271,39.341998000000004,46.326,1.0,2921.9749888,0.54,27.79,-34.5,0.05
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2483386318848.0,27.647903,5.6179886,16.563,1.2418,,24.285,53.3,12.224,13.139999999999999,1.0,2483.386318848,1.17,31.53,-21.74,0.14
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2034705629184.0,34.50396,81.86644,4.43,1.0189,0.95,39.969003,15.174,49.923,60.344005,1.0,2034.705629184,2.07,39.95,-18.14,0.2
AVGO,Broadcom Inc.,Technology,United States,USD,1812209860608.0,63.274086,20.667933,44.12,0.4308,0.68,37.280998,74.018,38.848,48.988,1.0,1812.209860608,1.9,47.38,-28.67,0.13
SPCX,Space Exploration Technologies ,Industrials,United States,USD,1533607149568.0,,19.544998,174.52,,,,73.597,-44.998002,-41.627997,1.0,1533.607149568,3.11,101.71,-46.31,0.09
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1506325692416.0,21.578545,6.1805167,13.842,0.8663,0.35,32.930002,35.608,32.836999999999996,40.617,1.0,1506.325692416,1.22,38.98,-33.3,0.11
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1214248910848.0,284.66666,14.04028,111.064,4.3955,,4.6669997,18.373,3.671,1.4099999,1.0,1214.248910848,1.96,46.31,-37.24,0.16
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1105107091456.0,15.24457,0.0010134713,-2.25,,,10.499,17.669,19.305,14.352,1.0,1105.107091456,0.0,14.83,-9.42,0.05
LLY,Eli Lilly and Company,Healthcare,United States,USD,1088513048576.0,43.378113,34.958904,30.539,1.6737,0.58,107.45899999999999,139.015,34.986,49.386,1.0,1088.513048576,0.41,38.21,-23.18,0.07
