ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,4956827418624.0,31.339968,25.359356,30.082,0.6383,,114.28799999999998,6.555,62.966,65.596,1.0,4956.827418624,1.57,35.27,-20.21,0.17
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4439174283264.0,27.77023,9.206611,27.842,1.4696,0.24,38.884997,20.026,37.919000000000004,36.120999999999995,1.0,4439.174283264,1.18,29.55,-20.37,0.18
AAPL,Apple Inc.,Technology,United States,USD,4346723172352.0,35.8293,40.76446,27.574,2.4179,0.36,141.47099,79.548,27.152001999999996,32.275,1.0,4346.723172352,0.76,22.72,-13.8,0.16
MSFT,Microsoft Corporation,Technology,United States,USD,2814708285440.0,22.581049,6.793302,16.116,1.215,0.92,34.013999,30.271,39.341998000000004,46.326,1.0,2814.70828544,0.65,25.88,-33.91,0.08
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2554813480960.0,30.56628,5.7795734,17.571,1.8344,,24.285,53.3,12.224,13.139999999999999,1.0,2554.81348096,1.2,30.53,-21.74,0.17
SPCX,Space Exploration Technologies ,Industrials,United States,USD,2527072616448.0,,32.20618,299.737,,,,73.597,-44.998002,-41.627997,1.0,2527.072616448,,,-9.26,0.37
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2241334607872.0,37.15821,96.09361,5.399,1.3283,,36.21,18.447,46.505,58.105,1.0,2241.334607872,1.93,37.1,-18.14,0.23
AVGO,Broadcom Inc.,Technology,United States,USD,1869253312512.0,65.15754,21.318502,43.663,0.6846,0.69,37.280998,74.018,38.848,48.988,1.0,1869.253312512,1.86,46.11,-28.67,0.15
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1488693755904.0,363.65137,18.102024,134.453,5.7809,,4.901,18.738,3.946,4.202999999999999,1.0,1488.693755904,1.78,44.44,-29.93,0.18
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1440758366208.0,20.646782,5.9114914,13.99,0.8672,0.35,32.930002,35.608,32.836999999999996,40.617,1.0,1440.758366208,1.25,36.26,-33.3,0.14
MU,"Micron Technology, Inc.",Technology,United States,USD,1176440799232.0,49.13754,16.239706,31.176,0.3213,,39.823002,14.902,41.486000000000004,67.624,1.0,1176.440799232,2.91,70.95,-30.28,0.17
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1059619143680.0,14.617078,0.0009717552,-2.25,,,10.499,17.669,19.305,14.352,1.0,1059.61914368,0.07,14.42,-9.42,0.07
LLY,Eli Lilly and Company,Healthcare,United States,USD,991616434176.0,39.474617,31.846952,28.692,1.5048,,107.45899999999999,139.015,34.986,49.386,1.0,991.616434176,0.54,38.08,-23.18,0.09
WMT,Walmart Inc.,Consumer Defensive,United States,USD,940087836672.0,41.59507,9.449643,23.075,4.7642,0.82,24.132,74.816,3.1350000000000002,4.2150001999999995,1.0,940.087836672,0.03,23.85,-15.75,0.04
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,893509828608.0,15.962662,2.5974653,,1.7578,,16.465001,,33.936,43.741,1.0,893.509828608,0.78,21.97,-15.47,0.22
AMD,"Advanced Micro Devices, Inc.",Technology,United States,USD,835650125824.0,171.39798,12.958757,110.19,1.2203,,8.062999999999999,6.005,13.374,14.396,1.0,835.650125824,2.71,67.17,-27.76,0.17
ASML,ASML Holding N.V. - New York Re,Technology,Netherlands,USD,719894675456.0,62.38577,1659.7512,3039.704,2.6471,0.49,52.236000000000004,12.989,29.713,36.020002,1.0,719.894675456,2.13,43.11,-17.85,0.22
V,Visa Inc.,Financial Services,United States,USD,628298088448.0,28.82897,17.722347,21.177,1.462,0.8,60.349,67.233,51.679003,67.34599999999999,1.0,628.298088448,0.36,21.51,-17.18,0.12
INTC,Intel Corporation,Technology,United States,USD,608648560640.0,,5.4606123,43.328,,,-2.911,36.028,-5.904,6.8790000000000004,1.0,608.64856064,2.35,74.46,-24.17,0.14
XOM,Exxon Mobil Corporation,Energy,United States,USD,583359922176.0,23.693604,2.2674766,11.317,1.1774,2.9,9.873,18.261,7.7649995999999994,6.3549999999999995,1.0,583.359922176,-0.39,24.87,-17.36,-0.06
JNJ,Johnson & Johnson,Healthcare,United States,USD,563770163200.0,27.13789,6.9423447,17.453,3.0566,,26.416,67.73,21.834,27.407999999999998,1.0,563.7701632,0.06,16.95,-10.96,0.05
ORCL,Oracle Corporation,Technology,United States,USD,527840739328.0,31.426369,15.732041,20.994,1.0643,,53.376000000000005,362.758,25.368000000000002,36.259,1.0,527.840739328,1.52,64.56,-58.25,0.09
AMAT,"Applied Materials, Inc.",Technology,United States,USD,470754394112.0,55.777985,19.68918,48.537,1.8897,,39.692003,30.399,29.314,31.896,1.0,470.754394112,2.28,49.33,-21.37,0.21
LRCX,Lam Research Corporation,Technology,United States,USD,467938639872.0,70.86742,44.208412,58.726,2.1437,0.28,66.762,35.282,30.938998,35.042998,1.0,467.938639872,2.79,53.34,-20.01,0.25
CSCO,"Cisco Systems, Inc.",Technology,United States,USD,462448525312.0,39.11,9.461334,28.673,1.6594,1.41,25.229000000000003,67.541,19.685,24.992001,1.0,462.448525312,0.86,31.01,-13.57,0.15
ARM,Arm Holdings plc,Technology,United Kingdom,USD,447396839424.0,504.6747,53.792217,394.677,3.4446,,11.9540006,5.926,18.374,29.53,1.0,447.396839424,2.92,69.76,-41.47,0.19
CAT,"Caterpillar, Inc.",Industrials,United States,USD,440289067008.0,47.700596,23.596552,32.648,2.2427,0.69,51.331,230.793,13.328000000000001,18.180001,1.0,440.289067008,1.62,35.31,-13.88,0.25
MA,Mastercard Incorporated,Financial Services,United States,USD,435598000128.0,28.496532,65.07259,21.224,1.5425,0.69,232.076,282.059,45.876,60.836,1.0,435.598000128,0.3,21.42,-20.91,0.11
COST,Costco Wholesale Corporation,Consumer Defensive,United States,USD,428218712064.0,48.693394,25.90241,31.606,4.8157,0.6,29.152,60.257,3.01,3.6730002999999996,1.0,428.218712064,-0.05,18.94,-15.14,0.02
BAC,Bank of America Corporation,Financial Services,United States,USD,401170268160.0,14.027294,1.4620835,,1.016,1.97,10.644,,28.956,35.955999999999996,1.0,401.17026816,0.71,21.59,-17.93,0.21
ABBV,AbbVie Inc.,Healthcare,United States,USD,390867582976.0,107.917076,-58.72843,15.264,0.6132,3.11,,,5.7860000000000005,32.156,1.0,390.867582976,0.13,24.39,-17.32,0.06
GE,GE Aerospace,Industrials,United States,USD,373035532288.0,44.35155,20.629227,34.244,8.4648,,45.428002,116.527,17.863001,20.207000999999998,1.0,373.035532288,1.23,31.83,-20.85,0.2
UNH,UnitedHealth Group Incorporated,Healthcare,United States,USD,362830921728.0,30.062452,3.706284,19.769,1.4126,,12.175999599999999,73.982,2.6780000000000004,8.0469996,1.0,362.830921728,0.49,40.2,-28.96,0.09
MS,Morgan Stanley,Financial Services,United States,USD,354826027008.0,20.376812,3.399317,,2.655,1.81,16.387999999999998,502.246,24.753,40.616,1.0,354.826027008,1.21,25.88,-18.83,0.24
CVX,Chevron Corporation,Energy,United States,USD,353667907584.0,30.883478,1.9113944,10.603,0.726,3.95,6.638,23.989,5.9270002,7.312,1.0,353.667907584,-0.32,22.44,-15.13,-0.05
PG,Procter & Gamble Company (The),Consumer Defensive,United States,USD,350593875968.0,21.979563,6.523114,15.206,4.2834,,31.112000000000002,67.651,19.162000000000003,23.047,1.0,350.593875968,0.07,18.79,-15.52,0.06
KO,Coca-Cola Company (The),Consumer Defensive,United States,USD,343897407488.0,25.13522,10.226459,22.634,4.1043,2.64,43.372001999999995,124.943,27.800000000000004,35.055,1.0,343.897407488,-0.16,16.78,-7.87,-0.02
HSBC,"HSBC Holdings, plc.",Financial Services,United Kingdom,USD,326604816384.0,15.740496,7.488843,,0.9338,3.97,11.611,,34.977000000000004,50.684,1.0,326.604816384,1.32,27.08,-16.28,0.24
HD,"Home Depot, Inc. (The)",Consumer Cyclical,United States,USD,326535774208.0,23.242016,23.532625,15.964,1.9005,2.76,128.38,459.356,8.411,11.926,1.0,326.535774208,0.73,23.95,-28.81,0.19
