ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,5146962558976.0,32.592026,26.332096,30.724,0.6518,0.47,114.28799999999998,6.555,62.966,65.596,1.0,5146.962558976,1.6,35.81,-20.21,0.17
AAPL,Apple Inc.,Technology,United States,USD,4810109091840.0,39.696968,45.11019,29.009,2.5441,0.34,141.47099,79.548,27.152001999999996,32.275,1.0,4810.10909184,0.74,24.44,-13.8,0.13
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4526178304000.0,28.271343,9.3870535,26.81,1.4155,0.24,38.884997,20.026,37.919000000000004,36.120999999999995,1.0,4526.178304,1.18,30.12,-20.37,0.17
MSFT,Microsoft Corporation,Technology,United States,USD,2938911850496.0,23.577473,7.093067,16.189,1.1866,0.95,34.013999,30.271,39.341998000000004,46.326,1.0,2938.911850496,0.54,27.42,-34.5,0.05
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2742632841216.0,30.461172,6.2044635,17.674,1.4253,,24.285,53.3,12.224,13.139999999999999,1.0,2742.632841216,1.15,31.16,-21.74,0.15
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2175622184960.0,36.50827,94.92151,5.32,1.3143,0.9,36.21,18.447,46.505,58.105,1.0,2175.62218496,2.05,39.52,-18.14,0.22
AVGO,Broadcom Inc.,Technology,United States,USD,1875818708992.0,65.823044,21.39338,45.649,0.4374,0.67,37.280998,74.018,38.848,48.988,1.0,1875.818708992,1.89,47.12,-28.67,0.15
SPCX,Space Exploration Technologies ,Industrials,United States,USD,1782072344576.0,,22.711554,202.086,,,,73.597,-44.998002,-41.627997,1.0,1782.072344576,3.46,116.65,-36.01,0.1
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1729453228032.0,24.774908,7.0960183,15.402,0.9551,0.32,32.930002,35.608,32.836999999999996,40.617,1.0,1729.453228032,1.2,38.67,-33.3,0.12
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1481482829824.0,355.36935,18.01434,131.582,4.9647,,4.901,18.738,3.946,4.202999999999999,1.0,1481.482829824,1.86,44.73,-29.93,0.17
SKHY,SK Hynix Inc. American Depositary Shares,Technology,South Korea,USD,1252610015232.0,25.68559,,-0.339,0.705,,61.172000000000004,13.282,56.88999999999999,71.535003,1.0,1252.610015232,,,-9.32,0.07
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1053299572736.0,14.538553,0.0009659596,-2.25,,,10.499,17.669,19.305,14.352,1.0,1053.299572736,0.02,14.56,-9.42,0.05
LLY,Eli Lilly and Company,Healthcare,United States,USD,1031414808576.0,41.131935,33.125126,29.431,1.4906,0.6,107.45899999999999,139.015,34.986,49.386,1.0,1031.414808576,0.43,38.73,-23.18,0.06
MU,"Micron Technology, Inc.",Technology,United States,USD,1021287661568.0,20.440325,14.077246,15.987,0.1445,0.05,66.63799999999999,6.33,55.906,80.370003,1.0,1021.287661568,3.15,76.48,-30.28,0.16
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,929549254656.0,14.687129,2.731833,,1.8017,1.75,17.788999999999998,,34.921002,50.181997,1.0,929.549254656,0.72,22.2,-15.47,0.22
WMT,Walmart Inc.,Consumer Defensive,United States,USD,895522635776.0,39.62324,9.497806,21.566,4.3265,0.87,24.132,74.816,3.1350000000000002,4.2150001999999995,1.0,895.522635776,-0.02,24.36,-18.91,0.02
AMD,"Advanced Micro Devices, Inc.",Technology,United States,USD,862816043008.0,175.79402,13.380029,119.153,1.313,,8.062999999999999,6.005,13.374,14.396,1.0,862.816043008,2.86,68.87,-27.76,0.17
ASML,ASML Holding N.V. - New York Re,Technology,Netherlands,USD,699637104640.0,61.576324,1633.8224,2992.094,2.6456,0.49,52.236000000000004,12.989,29.713,36.020002,1.0,699.63710464,2.3,45.11,-17.85,0.23
V,Visa Inc.,Financial Services,United States,USD,675385311232.0,30.98953,19.050531,22.609,1.5625,0.75,60.349,67.233,51.679003,67.34599999999999,1.0,675.385311232,0.26,21.74,-17.18,0.1
XOM,ExxonMobil Holdings Corporation,Energy,United States,USD,598986326016.0,24.369308,2.354695,11.513,1.2042,2.84,9.873,18.261,7.7649995999999994,6.3549999999999995,1.0,598.986326016,-0.42,25.06,-20.11,-0.06
JNJ,Johnson & Johnson,Healthcare,United States,USD,594630737920.0,29.407145,7.3223653,18.762,4.8756,2.11,26.416,67.73,21.834,27.407999999999998,1.0,594.63073792,-0.07,18.01,-10.96,0.03
INTC,Intel Corporation,Technology,United States,USD,517627707392.0,,4.6440005,38.342,,,-2.911,36.028,-5.904,6.8790000000000004,1.0,517.627707392,2.52,77.19,-26.93,0.14
MA,Mastercard Incorporated,Financial Services,United States,USD,472902959104.0,30.990736,70.64546,22.625,1.6537,0.65,232.076,282.059,45.876,60.836,1.0,472.902959104,0.22,21.66,-20.91,0.09
AMAT,"Applied Materials, Inc.",Technology,United States,USD,460043911168.0,54.663204,19.241217,50.888,1.505,0.36,39.692003,30.399,29.314,31.896,1.0,460.043911168,2.47,55.8,-23.31,0.2
CSCO,"Cisco Systems, Inc.",Technology,United States,USD,440534138880.0,37.256664,9.012982,28.098,1.625,1.43,25.229000000000003,67.541,19.685,24.992001,1.0,440.53413888,0.88,32.6,-13.7,0.13
BAC,Bank of America Corporation,Financial Services,United States,USD,432236625920.0,14.224019,1.5929546,,1.0787,1.85,11.1990005,,29.524,38.305,1.0,432.23662592,0.67,21.75,-17.93,0.2
ABBV,AbbVie Inc.,Healthcare,United States,USD,431291793408.0,120.251236,-64.80223,16.542,0.4001,2.83,,,5.7860000000000005,32.156,1.0,431.291793408,0.04,25.76,-17.32,0.04
CAT,"Caterpillar, Inc.",Industrials,United States,USD,421119229952.0,45.555557,22.569178,31.662,2.1926,0.7,51.331,230.793,13.328000000000001,18.180001,1.0,421.119229952,1.67,37.94,-14.14,0.22
LRCX,Lam Research Corporation,Technology,United States,USD,419479027712.0,63.288677,39.6302,53.323,1.9975,0.3,66.762,35.282,30.938998,35.042998,1.0,419.479027712,2.99,59.15,-24.74,0.23
COST,Costco Wholesale Corporation,Consumer Defensive,United States,USD,406466068480.0,46.034153,24.586618,29.524,4.472,0.64,29.152,60.257,3.01,3.6730002999999996,1.0,406.46606848,-0.1,19.51,-16.57,0.0
ORCL,Oracle Corporation,Technology,United States,USD,381633626112.0,22.72556,10.160276,16.71,0.723,1.56,53.376000000000005,388.87,25.368000000000002,36.202,1.0,381.633626112,1.54,65.17,-60.59,0.08
UNH,UnitedHealth Group Incorporated,Healthcare,United States,USD,380076589056.0,32.04594,3.8824468,20.512,1.4734,2.18,12.175999599999999,73.982,2.6780000000000004,8.0469996,1.0,380.076589056,0.4,39.68,-28.96,0.07
GE,GE Aerospace,Industrials,United States,USD,376504352768.0,44.653038,20.821056,34.433,8.5129,0.53,45.428002,116.527,17.863001,20.207000999999998,1.0,376.504352768,1.22,31.76,-20.85,0.2
CVX,Chevron Corporation,Energy,United States,USD,361674145792.0,31.637632,1.954664,10.681,0.7495,3.92,6.638,23.989,5.9270002,7.312,1.0,361.674145792,-0.37,22.68,-20.81,-0.06
MS,Morgan Stanley,Financial Services,United States,USD,360488468480.0,20.701994,3.4535646,,2.7026,1.76,16.387999999999998,502.246,24.753,40.616,1.0,360.48846848,1.18,26.73,-18.83,0.24
KO,Coca-Cola Company (The),Consumer Defensive,United States,USD,354739650560.0,25.927671,10.548874,23.193,4.0641,2.55,43.372001999999995,124.943,27.800000000000004,35.055,1.0,354.73965056,-0.22,17.43,-7.87,-0.03
PG,Procter & Gamble Company (The),Consumer Defensive,United States,USD,344749080576.0,21.644737,6.414367,14.61,4.1034,2.92,31.112000000000002,67.651,19.162000000000003,23.047,1.0,344.749080576,-0.0,19.59,-15.52,0.03
HSBC,"HSBC Holdings, plc.",Financial Services,United Kingdom,USD,344541822976.0,16.604958,7.9001274,,0.9755,3.78,11.611,,34.977000000000004,50.684,1.0,344.541822976,1.3,27.19,-16.28,0.24
HD,"Home Depot, Inc. (The)",Consumer Cyclical,United States,USD,340455522304.0,24.25,24.535786,16.138,1.9042,2.76,128.38,459.356,8.411,11.926,1.0,340.455522304,0.71,24.86,-28.81,0.16
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,United States,USD,339869171712.0,17.792585,3.23369,,1.713,1.58,16.951999,647.154,31.039,42.316002000000005,1.0,339.869171712,1.4,30.1,-19.42,0.24
PLTR,Palantir Technologies Inc.,Technology,United States,USD,320664436736.0,148.62222,37.9461,155.063,1.9176,,32.586999999999996,2.477,43.673,46.183997,1.0,320.664436736,1.36,51.61,-48.22,0.11
NFLX,"Netflix, Inc.",Communication Services,United States,USD,310251651072.0,23.767742,9.97158,21.991,1.4443,,48.494998,53.788,28.521,32.303002,1.0,310.251651072,0.15,34.48,-44.36,0.02
MRK,"Merck & Company, Inc.",Healthcare,United States,USD,305294999552.0,34.819717,6.654285,11.816,5.9674,2.82,18.944,106.936,13.586001,38.604,1.0,305.294999552,0.24,28.02,-11.37,0.08
