ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,4854372630528.0,30.64526,24.835194,30.196,0.6407,0.48,114.28799999999998,6.555,62.966,65.596,1.0,4854.372630528,1.57,35.08,-20.21,0.15
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4346030850048.0,27.18383,9.019082,26.575,1.4342,0.24,38.884997,20.026,37.919000000000004,36.120999999999995,1.0,4346.030850048,1.19,29.42,-20.37,0.16
AAPL,Apple Inc.,Technology,United States,USD,4282539048960.0,35.34303,40.162533,26.871,2.3354,0.37,141.47099,79.548,27.152001999999996,32.275,1.0,4282.53904896,0.78,22.64,-13.8,0.15
MSFT,Microsoft Corporation,Technology,United States,USD,2951762673664.0,23.68057,7.124083,16.258,1.2436,0.9,34.013999,30.271,39.341998000000004,46.326,1.0,2951.762673664,0.65,25.47,-33.91,0.07
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2560192151552.0,30.829016,5.791741,17.019,1.8344,,24.285,53.3,12.224,13.139999999999999,1.0,2560.192151552,1.19,30.19,-21.74,0.15
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2119971241984.0,35.11598,62.525303,5.43,1.3344,0.89,36.21,18.447,46.505,58.105,1.0,2119.971241984,1.95,36.71,-18.14,0.22
AVGO,Broadcom Inc.,Technology,United States,USD,1770295656448.0,62.016666,20.189907,43.282,0.7127,0.66,37.280998,74.018,38.848,48.988,1.0,1770.295656448,1.9,45.61,-28.67,0.15
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1449388933120.0,20.77802,5.9469028,13.311,0.8446,0.36,32.930002,35.608,32.836999999999996,40.617,1.0,1449.38893312,1.25,35.66,-33.3,0.13
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1433146621952.0,356.62616,17.426588,126.643,5.462,,4.901,18.738,3.946,4.202999999999999,1.0,1433.146621952,1.76,44.41,-29.93,0.15
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1043227017216.0,14.390955,0.0009567223,-2.25,,,10.499,17.669,19.305,14.352,1.0,1043.227017216,0.06,14.41,-9.42,0.07
LLY,Eli Lilly and Company,Healthcare,United States,USD,1013348171776.0,40.35405,32.54489,29.238,1.5345,0.6,107.45899999999999,139.015,34.986,49.386,1.0,1013.348171776,0.53,38.03,-23.64,0.08
MU,"Micron Technology, Inc.",Technology,United States,USD,1005803405312.0,42.16927,13.884211,28.575,0.3203,0.06,39.823002,14.902,41.486000000000004,67.624,1.0,1005.803405312,2.79,69.06,-30.28,0.15
WMT,Walmart Inc.,Consumer Defensive,United States,USD,959664685056.0,42.46127,9.646428,22.997,4.6796,0.83,24.132,74.816,3.1350000000000002,4.2150001999999995,1.0,959.664685056,0.02,23.76,-15.75,0.03
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,828344172544.0,14.79847,2.4080265,,1.6599,1.92,16.465001,,33.936,43.741,1.0,828.344172544,0.83,21.69,-15.47,0.22
AMD,"Advanced Micro Devices, Inc.",Technology,United States,USD,737683701760.0,150.8,11.439552,98.144,1.1439,,8.062999999999999,6.005,13.374,14.396,1.0,737.68370176,2.66,66.47,-27.76,0.15
ASML,ASML Holding N.V. - New York Re,Technology,Netherlands,USD,668387442688.0,58.057915,1547.4062,2922.237,2.6271,0.49,52.236000000000004,12.989,29.713,36.020002,1.0,668.387442688,2.12,41.86,-17.85,0.22
XOM,Exxon Mobil Corporation,Energy,United States,USD,624311926784.0,25.356901,2.426654,11.966,1.236,2.77,9.873,18.261,7.7649995999999994,6.3549999999999995,1.0,624.311926784,-0.35,24.45,-15.69,-0.04
V,Visa Inc.,Financial Services,United States,USD,614187139072.0,28.156929,17.32432,20.542,1.4266,0.82,60.349,67.233,51.679003,67.34599999999999,1.0,614.187139072,0.42,22.38,-20.38,0.12
ORCL,Oracle Corporation,Technology,United States,USD,578833022976.0,36.0681,17.251842,26.255,1.0377,0.97,57.572,415.265,25.298,32.676,1.0,578.833022976,1.59,65.6,-58.25,0.07
JNJ,Johnson & Johnson,Healthcare,United States,USD,574097195008.0,27.634995,7.0695124,17.58,3.0803,2.26,26.416,67.73,21.834,27.407999999999998,1.0,574.097195008,0.09,16.98,-10.96,0.07
INTC,Intel Corporation,Technology,United States,USD,537983025152.0,,4.826622,39.778,,,-2.911,36.028,-5.904,6.8790000000000004,1.0,537.983025152,2.32,73.27,-24.17,0.13
CSCO,"Cisco Systems, Inc.",Technology,United States,USD,468242432000.0,39.600002,9.579873,28.494,1.6703,1.4,25.229000000000003,67.541,19.685,24.992001,1.0,468.242432,0.88,30.96,-13.57,0.13
COST,Costco Wholesale Corporation,Consumer Defensive,United States,USD,436103774208.0,49.515102,26.379366,31.5,4.7274,0.61,29.152,60.257,3.01,3.6730002999999996,1.0,436.103774208,-0.04,18.85,-15.14,0.02
MA,Mastercard Incorporated,Financial Services,United States,USD,432143204352.0,28.303238,64.55649,20.718,1.5238,0.7,232.076,282.059,45.876,60.836,1.0,432.143204352,0.35,22.41,-20.91,0.11
LRCX,Lam Research Corporation,Technology,United States,USD,402433736704.0,60.716976,38.019848,51.151,1.905,0.32,66.762,35.282,30.938998,35.042998,1.0,402.433736704,2.71,51.58,-20.01,0.23
ABBV,AbbVie Inc.,Healthcare,United States,USD,397440057344.0,110.812805,-59.715954,15.41,0.6214,3.07,,,5.7860000000000005,32.156,1.0,397.440057344,0.18,24.38,-17.32,0.08
AMAT,"Applied Materials, Inc.",Technology,United States,USD,394605789184.0,46.75541,16.504284,42.629,1.6602,0.42,39.692003,30.399,29.314,31.896,1.0,394.605789184,2.24,47.98,-21.37,0.21
CAT,"Caterpillar, Inc.",Industrials,United States,USD,394340401152.0,42.55268,21.134012,29.823,2.1697,0.66,51.331,230.793,13.328000000000001,18.180001,1.0,394.340401152,1.63,35.03,-13.88,0.23
BAC,Bank of America Corporation,Financial Services,United States,USD,387048079360.0,13.533498,1.4106145,,0.9728,2.06,10.644,,28.956,35.955999999999996,1.0,387.04807936,0.73,21.57,-17.93,0.2
CVX,Chevron Corporation,Energy,United States,USD,378005258240.0,33.12391,2.0429251,11.108,0.7528,3.81,6.638,23.989,5.9270002,7.312,1.0,378.00525824,-0.3,22.03,-13.99,-0.04
UNH,UnitedHealth Group Incorporated,Healthcare,United States,USD,370032508928.0,30.63609,3.7798476,19.996,1.4311,2.25,12.175999599999999,73.982,2.6780000000000004,8.0469996,1.0,370.032508928,0.5,40.25,-28.96,0.08
KO,Coca-Cola Company (The),Consumer Defensive,United States,USD,359644495872.0,26.286161,10.694728,23.486,4.1649,2.61,43.372001999999995,124.943,27.800000000000004,35.055,1.0,359.644495872,-0.13,16.75,-7.87,0.01
PG,Procter & Gamble Company (The),Consumer Defensive,United States,USD,347077705728.0,21.790936,6.4576926,14.851,4.1732,2.86,31.112000000000002,67.651,19.162000000000003,23.047,1.0,347.077705728,0.09,18.83,-15.52,0.06
NFLX,"Netflix, Inc.",Communication Services,United States,USD,345285492736.0,26.451614,11.097577,24.314,1.5991,,48.494998,53.788,28.521,32.303002,1.0,345.285492736,0.23,33.16,-43.35,0.04
GE,GE Aerospace,Industrials,United States,USD,332997656576.0,39.54218,17.896008,32.232,7.9524,0.57,45.428002,116.527,17.863001,20.207000999999998,1.0,332.997656576,1.23,31.47,-20.85,0.19
ARM,Arm Holdings plc,Technology,United Kingdom,USD,328359444480.0,365.9881,39.4799,305.485,2.8234,,11.9540006,5.926,18.374,29.53,1.0,328.35944448,2.83,67.45,-41.47,0.17
MS,Morgan Stanley,Financial Services,United States,USD,325961711616.0,18.719204,3.12279,,2.5278,1.9,16.387999999999998,502.246,24.753,40.616,1.0,325.961711616,1.24,25.77,-18.83,0.23
