ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,5049593888768.0,31.92649,25.833954,31.151,0.5914,0.47,114.28799999999998,6.555,62.966,65.596,1.0,5049.593888768,1.64,36.89,-20.21,0.15
AAPL,Apple Inc.,Technology,United States,USD,4529157832704.0,35.589447,42.16576,27.01,2.4944,0.35,148.75101,78.445,27.618998,32.623002,1.0,4529.157832704,0.62,25.1,-13.8,0.12
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4256751157248.0,17.464125,6.838651,23.755,0.9345,0.26,48.676,18.859,54.771,34.033,1.0,4256.751157248,1.18,32.68,-21.05,0.14
MSFT,Microsoft Corporation,Technology,United States,USD,3618542714880.0,27.17847,8.181147,18.897,1.5693,0.75,34.039003,29.118,40.305,45.111000000000004,1.0,3618.54271488,0.7,32.31,-34.5,0.07
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2826769268736.0,21.066721,5.1229577,17.277,1.3769,,30.558002000000002,45.617,17.44,13.689000000000002,1.0,2826.769268736,1.16,34.43,-21.74,0.13
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2127076655104.0,30.583147,85.53041,4.728,0.9993,1.04,39.969003,16.504,49.923,60.344005,1.0,2127.076655104,2.13,40.49,-21.55,0.2
SPCX,Space Exploration Technologies ,Industrials,United States,USD,1778515181568.0,,13.980945,602.122,,,,31.211,-35.661998,-1.804,1.0,1778.515181568,3.15,103.03,-48.78,0.1
AVGO,Broadcom Inc.,Technology,United States,USD,1706829545472.0,59.693844,19.466087,42.729,0.4142,0.71,37.280998,74.018,38.848,48.988,1.0,1706.829545472,1.94,48.35,-28.67,0.13
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1424106979328.0,21.047441,5.4527903,12.976,0.8209,0.38,29.848000000000003,42.997,29.834998000000002,34.827000000000005,1.0,1424.106979328,1.12,38.77,-32.46,0.11
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1378194685952.0,320.1376,15.864969,130.762,5.3166,,4.6669997,18.373,3.671,1.4099999,1.0,1378.194685952,1.97,46.61,-39.1,0.16
LLY,Eli Lilly and Company,Healthcare,United States,USD,1111459889152.0,41.913616,32.81222,27.932,1.5792,0.55,102.28600000000002,162.071,33.528998,54.222,1.0,1111.459889152,0.35,36.11,-23.18,0.07
SKHY,SK hynix Inc.,Technology,South Korea,USD,1102901542912.0,9.491141,5.831892,-0.455,0.317,,92.679,8.037,85.619,76.328003,1.0,1102.901542912,5.8,137.93,-34.62,0.07
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1079602774016.0,12.684105,0.00096571236,-1.79,,,12.1199995,17.142,22.296,32.561,1.0,1079.602774016,0.01,14.75,-9.42,0.05
MU,"Micron Technology, Inc.",Technology,United States,USD,1028233428992.0,20.560751,10.204899,15.717,0.142,0.05,66.63799999999999,6.33,55.906,80.370003,1.0,1028.233428992,3.42,81.7,-39.1,0.14
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,947351060480.0,15.269495,2.6794832,,1.7195,1.71,17.788999999999998,,34.921002,50.394000000000005,1.0,947.35106048,0.71,22.38,-15.47,0.2
WMT,Walmart Inc.,Consumer Defensive,United States,USD,847455780864.0,38.583332,8.988015,19.467,3.9527,0.95,22.313999000000003,70.378,3.0,4.993,1.0,847.455780864,-0.05,25.89,-22.62,0.03
