ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,5271048421376.0,27.631645,23.019087,26.007,0.5547,0.46,117.211,16.971,63.663000000000004,66.236997,1.0,5271.048421376,1.67,38.28,-20.21,0.06
AAPL,Apple Inc.,Technology,United States,USD,4849207869440.0,38.104355,45.14538,29.002,2.4777,0.33,148.75101,78.445,27.618998,32.623002,1.0,4849.20786944,0.54,24.88,-13.8,0.13
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4139833098240.0,16.992971,6.6508174,23.302,1.2298,0.26,48.676,18.859,54.771,34.033,1.0,4139.83309824,1.05,30.49,-21.05,0.12
MSFT,Microsoft Corporation,Technology,United States,USD,3680323239936.0,27.580969,8.320827,19.214,1.5992,0.74,34.039003,29.118,40.305,45.111000000000004,1.0,3680.323239936,0.72,34.27,-34.5,0.07
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2769709432832.0,20.674719,5.0195484,17.159,1.4771,,30.558002000000002,45.617,17.44,13.689000000000002,1.0,2769.709432832,1.14,35.77,-21.74,0.1
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2246988005376.0,31.926308,88.65905,4.915,0.8071,0.95,39.969003,16.504,49.923,60.344005,1.0,2246.988005376,2.07,40.68,-21.55,0.09
AVGO,Broadcom Inc.,Technology,United States,USD,1728006324224.0,46.231163,17.335026,33.732,0.3573,0.72,44.245000000000005,59.604,42.943999999999996,54.307,1.0,1728.006324224,1.77,45.67,-28.67,0.03
2222.SR,Saudi Arabian Oil Co.,Energy,Saudi Arabia,SAR,6323459063808.0,15.467455,4.047693,7.465,3.9919,5.21,23.747998,19.783,22.395,41.544,0.26627612113952637,1683.786151695375,-0.16,14.31,-9.61,-0.07
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1650860490752.0,24.407911,6.321011,15.253,0.8526,0.33,29.848000000000003,42.997,29.834998000000002,34.827000000000005,1.0,1650.860490752,1.03,41.47,-32.46,0.07
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1443322658816.0,335.26605,16.614685,131.71,4.3462,,4.6669997,18.373,3.671,1.4099999,1.0,1443.322658816,1.88,45.26,-39.1,0.1
005930.KS,SamsungElec,Technology,South Korea,KRW,1704023174414336.0,,,6.828,0.1222,0.58,30.794,3.868,30.842000000000002,52.181999999999995,0.0007456843159161508,1270.6633551184218,0.72,74.7,-42.83,-0.05
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1092553998336.0,12.839497,0.0009772973,-1.79,,,12.1199995,17.142,22.296,32.561,1.0,1092.553998336,-0.04,13.57,-9.42,0.09
LLY,Eli Lilly and Company,Healthcare,United States,USD,994487042048.0,37.489918,29.35898,24.947,1.1097,0.62,102.28600000000002,162.071,33.528998,54.222,1.0,994.487042048,0.39,37.9,-23.18,0.11
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,946925731840.0,15.269182,2.67828,,1.6441,1.7,17.788999999999998,,34.921002,50.394000000000005,1.0,946.92573184,0.67,23.01,-15.47,0.15
WMT,Walmart Inc.,Consumer Defensive,United States,USD,850100944896.0,38.822464,9.043721,20.88,4.037,0.94,22.313999000000003,71.653,3.0,3.45,1.0,850.100944896,-0.03,26.91,-23.34,0.06
AMD,"Advanced Micro Devices, Inc.",Technology,United States,USD,842569351168.0,131.3308,12.530164,87.192,0.5129,,10.196,6.361,15.577,17.25,1.0,842.569351168,3.07,72.35,-27.76,0.04
V,Visa Inc.,Financial Services,United States,USD,691647676416.0,31.52766,19.631691,22.238,1.6631,0.73,61.19,67.821,50.782000000000004,66.130996,1.0,691.647676416,0.17,22.68,-17.18,0.13
XOM,ExxonMobil Holdings Corporation,Energy,United States,USD,682536271872.0,21.362936,2.6314204,10.613,1.4154,2.49,12.584000000000001,15.921,9.072,15.859000000000002,1.0,682.536271872,-0.54,25.76,-20.11,-0.05
ASML,ASML Holding N.V. - New York Re,Technology,Netherlands,USD,652317032448.0,57.511005,1427.3237,2687.354,1.5034,0.54,53.942,9.092,30.114,37.057,1.0,652.317032448,2.35,47.2,-21.95,0.08
JNJ,Johnson & Johnson,Healthcare,United States,USD,640020840448.0,30.774042,7.526924,19.164,2.7909,2.01,25.741999999999997,57.709,21.482,29.189999999999998,1.0,640.020840448,-0.13,19.76,-10.96,0.08
MA,Mastercard Incorporated,Financial Services,United States,USD,498616074240.0,31.274174,88.99156,23.046,1.4762,0.62,241.202,439.583,46.339000000000006,61.108,1.0,498.61607424,0.14,22.87,-20.87,0.13
0700.HK,TENCENT,Communication Services,China,HKD,3860027408384.0,14.4,2.9052596,13.318,1.3068,1.24,19.906001,38.595,29.868,32.852,0.12751524150371552,492.2123271910469,-0.02,33.05,-38.51,-0.02
ABBV,AbbVie Inc.,Healthcare,United States,USD,454361186304.0,72.63277,-76.54659,16.862,0.5216,2.71,,,9.8000005,40.035,1.0,454.361186304,0.06,26.62,-17.32,0.1
CSCO,"Cisco Systems, Inc.",Technology,United States,USD,442082263040.0,33.672672,8.79934,24.53,1.0088,1.56,27.319,62.017,20.951,27.718999999999998,1.0,442.08226304,0.93,36.32,-17.04,0.05
BAC,Bank of America Corporation,Financial Services,United States,USD,438375383040.0,14.47806,1.5934625,,0.9455,2.05,11.1990005,,29.524,38.305,1.0,438.37538304,0.6,22.29,-17.93,0.16
ORCL,Oracle Corporation,Technology,United States,USD,432877174784.0,23.55486,11.52454,19.072,0.8643,1.24,53.376000000000005,388.87,25.368000000000002,36.202,1.0,432.877174784,1.67,54.7,-64.56,0.04
CVX,Chevron Corporation,Energy,United States,USD,419900817408.0,20.62235,2.2113636,8.964,0.9441,3.35,12.231,18.959,9.834,21.866,1.0,419.900817408,-0.52,22.36,-20.81,-0.06
PLTR,Palantir Technologies Inc.,Technology,United States,USD,401863442432.0,141.72034,41.108654,147.514,1.5965,,38.096999999999994,2.139,49.005002,47.120996999999996,1.0,401.863442432,1.54,64.09,-48.22,0.07
COST,Costco Wholesale Corporation,Consumer Defensive,United States,USD,401246322688.0,45.580353,24.270884,28.98,4.423,0.65,29.152,60.257,3.01,3.6730002999999996,1.0,401.246322688,-0.16,20.14,-17.41,0.06
KO,Coca-Cola Company (The),Consumer Defensive,United States,USD,379872051200.0,26.513514,10.509463,24.116,3.9896,2.41,42.054,115.519,28.558,34.873,1.0,379.8720512,-0.16,19.66,-7.87,0.08
CAT,"Caterpillar, Inc.",Industrials,United States,USD,376276058112.0,35.313633,19.400612,25.566,1.4087,0.81,56.972003,232.783,14.511,22.183001,1.0,376.276058112,1.77,41.73,-26.7,0.08
HSBC,"HSBC Holdings, plc.",Financial Services,United Kingdom,USD,360627863552.0,15.042857,8.358802,,0.9096,3.62,13.104999000000001,,37.797,58.768004,1.0,360.627863552,1.34,28.99,-16.28,0.16
MRK,"Merck & Company, Inc.",Healthcare,United States,USD,355100000256.0,116.07257,8.473448,13.921,2.6432,2.35,6.961,128.408,4.7659997,-0.241,1.0,355.100000256,0.33,31.36,-11.37,0.12
UNH,UnitedHealth Group Incorporated,Healthcare,United States,USD,340269203456.0,24.347464,3.4848917,14.603,1.0548,2.39,14.152999,69.211,3.1350000000000002,7.132999600000001,1.0,340.269203456,0.36,37.48,-28.96,0.08
PG,Procter & Gamble Company (The),Consumer Defensive,United States,USD,337670406144.0,21.944109,6.330675,14.695,3.6576,3.05,30.290001999999998,64.49,18.437,22.084999,1.0,337.670406144,0.06,19.51,-15.52,0.12
MS,Morgan Stanley,Financial Services,United States,USD,336698015744.0,17.31664,3.1619003,,1.8692,2.16,17.969999,517.282,25.897,41.567,1.0,336.698015744,1.22,29.53,-18.83,0.14
GE,GE Aerospace,Industrials,United States,USD,335817474048.0,38.122498,19.037704,30.16,4.1215,0.58,48.231998,113.225,17.716,20.571,1.0,335.817474048,1.15,34.12,-20.85,0.13
NFLX,"Netflix, Inc.",Communication Services,United States,USD,322288943104.0,24.339622,10.689132,22.395,1.4052,,49.541000000000004,55.236,28.219,33.381,1.0,322.288943104,0.09,37.94,-45.54,0.06
HD,"Home Depot, Inc. (The)",Consumer Cyclical,United States,USD,308026671104.0,21.620447,18.542942,14.976,1.7054,3.05,104.29599,380.261,8.41,12.858,1.0,308.026671104,0.74,26.49,-28.69,0.18
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,United States,USD,299667783680.0,15.892218,2.842654,,1.261,1.96,16.902,725.381,31.039,42.176998,1.0,299.66778368,1.49,33.43,-19.42,0.13
PM,Philip Morris International Inc,Consumer Defensive,United States,USD,297788669952.0,26.208504,-34.694027,19.031,2.2791,3.1,,,25.558999999999997,40.001999999999995,1.0,297.788669952,-0.16,27.52,-18.54,0.05
SHEL,Shell PLC,Energy,United Kingdom,USD,276837367808.0,10.704646,1.4909712,5.42,1.6232,3.26,14.341000000000001,40.2,8.756,16.691,1.0,276.837367808,0.03,22.75,-17.98,0.01
WFC,Wells Fargo & Company,Financial Services,United States,USD,273036886016.0,13.123547,1.6973718,,1.5129,2.24,12.575,,27.232,37.387002,1.0,273.036886016,0.56,27.44,-23.02,0.13
BABA,Alibaba Group Holding Limited,Consumer Cyclical,China,USD,271678668800.0,24.728508,1.6321005,2.285,0.5043,0.97,6.36,26.319,7.039,7.295,1.0,271.6786688,1.17,42.28,-49.47,0.08
MUFG,"Mitsubishi UFJ Financial Group,",Financial Services,Japan,USD,268900220928.0,15.512987,1.8182534,,1.7803,2.31,9.458999,,27.445999999999998,45.599996999999995,1.0,268.900220928,0.98,27.44,-17.28,0.13
RTX,RTX Corporation,Industrials,United States,USD,266424811520.0,34.74165,4.013807,18.795,2.2971,1.47,12.274000000000001,57.02,8.276,12.696,1.0,266.42481152,0.33,26.47,-19.32,0.1
AZN.L,ASTRAZENECA PLC ORD SHS $0.25,Healthcare,United Kingdom,GBp,181577711616.0,23.74848,4.8919272,10.503,1.1416,2.03,21.965,64.225,17.021998999999997,23.459,1.3528870344161987,245.65413178425,0.12,27.64,-26.26,0.09
TXN,Texas Instruments Incorporated,Technology,United States,USD,245389656064.0,40.89802,13.623689,26.517,0.9217,2.19,35.176,78.036,31.111,42.576997999999996,1.0,245.389656064,1.43,44.91,-23.37,0.06
NESN.SW,NESTLE N,Consumer Defensive,Switzerland,CHF,199449935872.0,26.83045,6.8257046,15.584,2.1477,3.99,26.244,213.005,8.3809994,16.113001,1.2253400087356567,244.39398616372264,-0.01,23.73,-15.3,0.05
SIE.DE,SIEMENS AG                    N,Industrials,Germany,EUR,206496907264.0,26.43856,3.0010433,20.031,5.3502,2.07,12.465999,66.425,9.795999499999999,14.902999999999999,1.1602274179458618,239.5833735287168,1.33,33.56,-20.5,0.11
SAP,SAP  SE,Technology,Germany,USD,238181597184.0,26.592783,64.95048,285.16,1.5506,1.42,18.320999,21.966,20.413,27.62,1.0,238.181597184,0.45,39.57,-46.9,0.11
MC.PA,LVMH,Consumer Cyclical,France,EUR,204728451072.0,18.946167,3.0073283,11.535,1.4952,3.2,16.586000000000002,53.306,13.658000000000001,22.521,1.1602274179458618,237.53156216732228,0.65,31.55,-36.65,0.14
OR.PA,L'OREAL,Consumer Defensive,France,EUR,202231840768.0,32.217983,5.975961,20.768,2.2852,1.92,19.409001,49.316,13.904001,21.294,1.1602274179458618,234.63492644069532,0.38,26.52,-14.44,0.11
C,"Citigroup, Inc.",Financial Services,United States,USD,232861794304.0,14.959053,1.2098869,,0.6274,1.94,8.529,,21.832001,36.229,1.0,232.861794304,1.13,30.39,-14.76,0.15
IBM,International Business Machines,Technology,United States,USD,229211865088.0,21.606571,6.6530843,17.389,2.2133,2.89,34.460998,188.97,15.522,16.548,1.0,229.211865088,0.56,52.59,-37.5,0.1
TMO,Thermo Fisher Scientific Inc,Healthcare,United States,USD,225479294976.0,32.821312,4.2802496,22.497,1.7965,0.31,13.514999999999999,80.575,15.036,18.751,1.0,225.479294976,0.59,32.74,-31.38,0.11
AXP,American Express Company,Financial Services,United States,USD,219266351104.0,19.702065,6.3934236,,1.3042,1.18,34.377,172.38,16.141,20.32,1.0,219.266351104,0.74,27.08,-23.9,0.15
LIN,Linde plc,Basic Materials,United Kingdom,USD,214918168576.0,30.059317,5.4993043,17.333,1.7892,1.39,18.400997999999998,68.947,20.435,28.119,1.0,214.918168576,0.07,19.76,-18.92,0.07
VZ,Verizon Communications Inc.,Communication Services,United States,USD,210273173504.0,13.1796875,2.023429,7.897,0.8886,5.66,15.842,184.081,11.643,22.999,1.0,210.273173504,-0.23,25.87,-17.05,0.05
AMGN,Amgen Inc.,Healthcare,United States,USD,204007489536.0,23.437887,17.453747,14.323,1.8842,2.64,91.473,490.281,22.951000999999998,35.548002000000004,1.0,204.007489536,0.63,29.18,-16.57,0.16
CRM,"Salesforce, Inc.",Technology,United States,USD,203873566720.0,22.705774,5.312232,18.207,0.9001,0.72,19.381,110.417,21.990000000000002,21.375,1.0,203.87356672,0.12,48.84,-43.33,0.04
