ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,5252323999744.0,33.20827,26.87113,31.566,0.5992,0.46,114.28799999999998,6.555,62.966,65.596,1.0,5252.323999744,1.62,36.79,-20.21,0.15
AAPL,Apple Inc.,Technology,United States,USD,4543167856640.0,35.74053,42.296192,27.66,2.5547,0.34,148.75101,78.445,27.618998,32.623002,1.0,4543.16785664,0.65,25.12,-13.8,0.12
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4166372032512.0,17.101908,6.693454,23.748,0.9342,0.26,48.676,18.859,54.771,34.033,1.0,4166.372032512,1.13,32.81,-21.05,0.15
MSFT,Microsoft Corporation,Technology,United States,USD,3572801208320.0,26.77518,8.07773,18.671,1.5728,0.75,34.039003,29.118,40.305,45.111000000000004,1.0,3572.80120832,0.67,32.31,-34.5,0.07
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2805627879424.0,20.909164,5.084643,17.738,1.4152,,30.558002000000002,45.617,17.44,13.689000000000002,1.0,2805.627879424,1.12,34.54,-21.74,0.13
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2157573177344.0,31.06796,85.6309,4.638,0.9834,1.05,39.969003,16.504,49.923,60.344005,1.0,2157.573177344,2.11,40.49,-21.55,0.2
SPCX,Space Exploration Technologies ,Industrials,United States,USD,1766358515712.0,,13.877381,588.845,,,,31.211,-35.661998,-1.804,1.0,1766.358515712,3.38,105.06,-48.78,0.1
AVGO,Broadcom Inc.,Technology,United States,USD,1731901915136.0,60.4701,19.752035,42.253,0.4074,0.72,37.280998,74.018,38.848,48.988,1.0,1731.901915136,1.93,48.28,-28.67,0.14
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1390505361408.0,20.566315,5.3241324,12.887,0.8151,0.38,29.848000000000003,42.997,29.834998000000002,34.827000000000005,1.0,1390.505361408,1.09,38.79,-32.46,0.11
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1363107381248.0,316.63303,15.691293,126.451,5.1446,,4.6669997,18.373,3.671,1.4099999,1.0,1363.107381248,1.87,46.61,-39.1,0.16
SKHY,SK hynix Inc.,Technology,South Korea,USD,1157631311872.0,10.141791,6.216763,-0.476,0.3084,,92.67999999999999,7.075,85.682,76.328003,1.0,1157.631311872,6.6,141.95,-34.62,0.06
LLY,Eli Lilly and Company,Healthcare,United States,USD,1109682946048.0,41.716393,32.745647,28.465,1.6106,0.54,102.28600000000002,162.071,33.528998,54.222,1.0,1109.682946048,0.37,36.18,-23.18,0.07
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1063633027072.0,12.493336,0.0009514273,-1.79,,,12.1199995,17.142,22.296,32.561,1.0,1063.633027072,0.02,14.66,-9.42,0.05
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,934485360640.0,15.068581,2.6430938,,1.7473,1.68,17.788999999999998,,34.921002,50.394000000000005,1.0,934.48536064,0.72,22.4,-15.47,0.2
WMT,Walmart Inc.,Consumer Defensive,United States,USD,826366885888.0,36.692577,8.764348,21.88,4.3568,0.87,24.132,74.816,3.1350000000000002,4.2150001999999995,1.0,826.366885888,-0.04,25.8,-22.62,0.03
AMD,"Advanced Micro Devices, Inc.",Technology,United States,USD,766373527552.0,119.75893,11.397028,78.706,0.9989,,10.196,6.361,15.577,17.25,1.0,766.373527552,3.01,71.8,-27.76,0.16
XOM,ExxonMobil Holdings Corporation,Energy,United States,USD,683194122240.0,21.35604,2.6339567,10.623,1.2897,2.5,12.584000000000001,15.921,9.072,15.859000000000002,1.0,683.19412224,-0.49,25.56,-20.11,-0.06
V,Visa Inc.,Financial Services,United States,USD,682835247104.0,31.17903,19.381557,21.947,1.6561,0.73,61.19,67.821,50.782000000000004,66.130996,1.0,682.835247104,0.19,22.01,-17.18,0.08
ASML,ASML Holding N.V. - New York Re,Technology,Netherlands,USD,672294109184.0,59.473667,1477.5125,2770.853,2.103,0.52,53.942,9.092,30.114,37.057,1.0,672.294109184,2.36,46.54,-21.95,0.21
JNJ,Johnson & Johnson,Healthcare,United States,USD,644334551040.0,31.053427,7.5776553,19.705,4.7895,1.96,25.741999999999997,57.709,21.482,29.189999999999998,1.0,644.33455104,-0.13,18.74,-10.96,0.02
MA,Mastercard Incorporated,Financial Services,United States,USD,502698278912.0,31.547552,89.72014,23.23,1.7576,0.61,241.202,439.583,46.339000000000006,61.108,1.0,502.698278912,0.18,22.31,-20.91,0.08
INTC,Intel Corporation,Technology,United States,USD,487008862208.0,,5.3073335,29.76,,,-10.715,48.997,-19.794,12.189999,1.0,487.008862208,2.77,78.98,-41.9,0.14
ABBV,AbbVie Inc.,Healthcare,United States,USD,462684291072.0,73.96327,-77.94879,17.133,0.435,2.6,,,9.8000005,40.035,1.0,462.684291072,-0.01,26.45,-17.32,0.04
BAC,Bank of America Corporation,Financial Services,United States,USD,432571416576.0,14.286374,1.5723655,,1.0755,2.03,11.1990005,,29.524,38.305,1.0,432.571416576,0.63,21.37,-17.93,0.19
CSCO,"Cisco Systems, Inc.",Technology,United States,USD,431941812224.0,32.90991,8.606093,24.169,1.0191,1.52,27.319,58.731,20.951,27.700999999999997,1.0,431.941812224,0.86,33.9,-15.38,0.11
PLTR,Palantir Technologies Inc.,Technology,United States,USD,418036056064.0,148.68378,42.76303,153.588,2.3461,,38.096999999999994,2.139,49.005002,47.120996999999996,1.0,418.036056064,1.52,59.87,-48.22,0.11
