ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,4929700233216.0,31.120794,25.220572,30.601,0.6493,0.47,114.28799999999998,6.555,62.966,65.596,1.0,4929.700233216,1.57,35.8,-20.21,0.16
AAPL,Apple Inc.,Technology,United States,USD,4660444790784.0,38.415253,43.70661,29.051,2.5478,0.34,141.47099,79.548,27.152001999999996,32.275,1.0,4660.444790784,0.73,24.11,-13.8,0.14
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4301529022464.0,26.888636,8.921143,26.635,1.4063,0.25,38.884997,20.026,37.919000000000004,36.120999999999995,1.0,4301.529022464,1.18,29.94,-20.37,0.17
MSFT,Microsoft Corporation,Technology,United States,USD,2904443584512.0,23.287073,7.009878,16.002,1.1872,0.95,34.013999,30.271,39.341998000000004,46.326,1.0,2904.443584512,0.54,27.24,-34.5,0.06
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2660340858880.0,29.547192,6.0183,17.526,1.413,,24.285,53.3,12.224,13.139999999999999,1.0,2660.34085888,1.14,31.05,-21.74,0.15
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2186513612800.0,36.65913,95.3967,5.338,1.3583,0.87,36.21,18.447,46.505,58.105,1.0,2186.5136128,2.05,39.66,-18.14,0.21
SPCX,Space Exploration Technologies ,Industrials,United States,USD,1833056337920.0,,23.361317,207.766,,,,73.597,-44.998002,-41.627997,1.0,1833.05633792,,,-34.18,0.1
AVGO,Broadcom Inc.,Technology,United States,USD,1827148660736.0,64.00833,20.838306,44.493,0.4496,0.65,37.280998,74.018,38.848,48.988,1.0,1827.148660736,1.88,47.12,-28.67,0.14
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1667058630656.0,23.88109,6.840011,15.592,0.9669,0.31,32.930002,35.608,32.836999999999996,40.617,1.0,1667.058630656,1.19,38.58,-33.3,0.12
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1482609524736.0,358.87274,18.028042,135.503,5.1098,,4.901,18.738,3.946,4.202999999999999,1.0,1482.609524736,1.87,44.9,-29.93,0.17
