ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,4769841152000.0,30.157732,24.402725,28.348,0.5996,0.51,114.28799999999998,6.555,62.966,65.596,1.0,4769.841152,1.57,35.26,-20.21,0.16
AAPL,Apple Inc.,Technology,United States,USD,4562774130688.0,37.655758,42.790634,28.623,2.4938,0.35,141.47099,79.548,27.152001999999996,32.275,1.0,4562.774130688,0.75,24.14,-13.8,0.14
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4478710317056.0,27.974848,9.288607,27.375,1.4171,0.24,38.884997,20.026,37.919000000000004,36.120999999999995,1.0,4478.710317056,1.18,29.86,-20.37,0.17
MSFT,Microsoft Corporation,Technology,United States,USD,2888472723456.0,23.172823,6.971332,15.915,1.1922,0.94,34.013999,30.271,39.341998000000004,46.326,1.0,2888.472723456,0.55,27.2,-34.5,0.06
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2646033825792.0,31.862694,5.9859343,17.57,1.8344,,24.285,53.3,12.224,13.139999999999999,1.0,2646.033825792,1.15,31.04,-21.74,0.15
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2243513024512.0,37.549477,97.36741,5.776,1.4213,0.84,36.21,18.447,46.505,58.105,1.0,2243.513024512,2.05,39.57,-18.14,0.21
SPCX,Space Exploration Technologies ,Industrials,United States,USD,1969145774080.0,,25.095703,239.0,,,,73.597,-44.998002,-41.627997,1.0,1969.14577408,,,-29.29,0.11
AVGO,Broadcom Inc.,Technology,United States,USD,1764015603712.0,61.591362,20.118284,43.345,0.4052,0.7,37.280998,74.018,38.848,48.988,1.0,1764.015603712,1.88,46.66,-28.67,0.14
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1562602635264.0,22.392872,6.4114237,14.347,0.8422,0.35,32.930002,35.608,32.836999999999996,40.617,1.0,1562.602635264,1.17,37.78,-33.3,0.12
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1513181151232.0,369.633,18.39978,133.857,5.7648,,4.901,18.738,3.946,4.202999999999999,1.0,1513.181151232,1.85,44.88,-29.93,0.16
LLY,Eli Lilly and Company,Healthcare,United States,USD,1101800013824.0,43.814186,35.38563,30.601,1.57,0.58,107.45899999999999,139.015,34.986,49.386,1.0,1101.800013824,0.46,38.75,-23.18,0.08
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1087054282752.0,15.004465,0.0009969154,-2.25,,,10.499,17.669,19.305,14.352,1.0,1087.054282752,0.03,14.44,-9.42,0.06
MU,"Micron Technology, Inc.",Technology,United States,USD,1059799957504.0,21.220715,14.608092,16.014,0.1449,0.05,66.63799999999999,6.33,55.906,80.370003,1.0,1059.799957504,3.12,75.91,-30.28,0.15
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,908943818752.0,16.230623,2.6423326,,1.7686,1.78,16.465001,,33.936,43.741,1.0,908.943818752,0.71,21.93,-15.47,0.2
WMT,Walmart Inc.,Consumer Defensive,United States,USD,887644160000.0,39.27465,9.4142475,21.394,4.2557,0.89,24.132,74.816,3.1350000000000002,4.2150001999999995,1.0,887.64416,-0.0,24.36,-18.91,0.03
AMD,"Advanced Micro Devices, Inc.",Technology,United States,USD,841569271808.0,173.19127,13.050547,112.126,1.2404,,8.062999999999999,6.005,13.374,14.396,1.0,841.569271808,2.82,68.74,-27.76,0.16
ASML,ASML Holding N.V. - New York Re,Technology,Netherlands,USD,673432600576.0,59.471752,1581.9504,2944.298,2.6453,0.48,52.236000000000004,12.989,29.713,36.020002,1.0,673.432600576,2.26,45.63,-17.85,0.21
V,Visa Inc.,Financial Services,United States,USD,669794172928.0,30.70619,18.892822,22.37,1.5893,0.75,60.349,67.233,51.679003,67.34599999999999,1.0,669.794172928,0.29,21.74,-17.18,0.11
JNJ,Johnson & Johnson,Healthcare,United States,USD,643304587264.0,30.930553,7.9217424,19.146,5.0521,2.07,26.416,67.73,21.834,27.407999999999998,1.0,643.304587264,-0.04,18.56,-10.96,0.04
XOM,ExxonMobil Holdings Corporation,Energy,United States,USD,587297587200.0,23.853535,2.282782,11.305,1.1318,3.02,9.873,18.261,7.7649995999999994,6.3549999999999995,1.0,587.2975872,-0.39,24.66,-20.11,-0.05
INTC,Intel Corporation,Technology,United States,USD,554820108288.0,,4.9776797,40.966,,,-2.911,36.028,-5.904,6.8790000000000004,1.0,554.820108288,2.5,76.65,-24.17,0.13
MA,Mastercard Incorporated,Financial Services,United States,USD,469730852864.0,30.78286,70.17159,22.476,1.6403,0.65,232.076,282.059,45.876,60.836,1.0,469.730852864,0.24,21.58,-20.91,0.09
ABBV,AbbVie Inc.,Healthcare,United States,USD,449913782272.0,124.82843,-67.60021,17.165,0.4254,2.72,,,5.7860000000000005,32.156,1.0,449.913782272,0.06,25.96,-17.32,0.06
CSCO,"Cisco Systems, Inc.",Technology,United States,USD,440612978688.0,37.263332,9.014596,26.87,1.5639,1.47,25.229000000000003,67.541,19.685,24.992001,1.0,440.612978688,0.88,31.86,-13.69,0.13
AMAT,"Applied Materials, Inc.",Technology,United States,USD,440250499072.0,52.26202,18.413363,50.639,1.5235,0.36,39.692003,30.399,29.314,31.896,1.0,440.250499072,2.44,55.33,-23.31,0.19
CAT,"Caterpillar, Inc.",Industrials,United States,USD,433011720192.0,46.818726,23.206535,32.479,2.2855,0.67,51.331,230.793,13.328000000000001,18.180001,1.0,433.011720192,1.69,37.84,-13.88,0.21
BAC,Bank of America Corporation,Financial Services,United States,USD,424801927168.0,14.853598,1.5482101,,1.0486,1.87,10.644,,28.956,35.955999999999996,1.0,424.801927168,0.66,21.52,-17.93,0.19
COST,Costco Wholesale Corporation,Consumer Defensive,United States,USD,420196188160.0,47.70896,25.417137,30.35,4.6407,0.62,29.152,60.257,3.01,3.6730002999999996,1.0,420.19618816,-0.08,19.18,-15.5,0.02
ORCL,Oracle Corporation,Technology,United States,USD,407874732032.0,24.246576,10.858896,18.205,0.7927,1.39,53.376000000000005,388.87,25.368000000000002,36.202,1.0,407.874732032,1.51,64.74,-58.25,0.08
LRCX,Lam Research Corporation,Technology,United States,USD,407848714240.0,61.650284,38.53143,51.841,2.0211,0.3,66.762,35.282,30.938998,35.042998,1.0,407.84871424,2.94,58.32,-24.74,0.22
UNH,UnitedHealth Group Incorporated,Healthcare,United States,USD,388858347520.0,32.218964,3.9721518,20.207,1.4484,2.22,12.175999599999999,73.982,2.6780000000000004,8.0469996,1.0,388.85834752,0.41,39.78,-28.96,0.07
GE,GE Aerospace,Industrials,United States,USD,383431573504.0,45.4746,21.204138,36.792,9.0855,0.5,45.428002,116.527,17.863001,20.207000999999998,1.0,383.431573504,1.21,31.65,-20.85,0.2
KO,Coca-Cola Company (The),Consumer Defensive,United States,USD,361623650304.0,26.430819,10.753583,23.324,4.3016,2.56,43.372001999999995,124.943,27.800000000000004,35.055,1.0,361.623650304,-0.22,17.3,-7.87,-0.02
PG,Procter & Gamble Company (The),Consumer Defensive,United States,USD,355693494272.0,22.331871,6.6179976,14.91,4.1941,2.85,31.112000000000002,67.651,19.162000000000003,23.047,1.0,355.693494272,0.01,19.4,-15.52,0.04
MS,Morgan Stanley,Financial Services,United States,USD,350220320768.0,20.112318,3.3551934,,2.6702,1.8,16.387999999999998,502.246,24.753,40.616,1.0,350.220320768,1.18,26.6,-18.83,0.22
CVX,Chevron Corporation,Energy,United States,USD,346557906944.0,30.368237,1.8729683,9.976,0.6806,4.24,6.638,23.989,5.9270002,7.312,1.0,346.557906944,-0.35,22.53,-20.81,-0.05
HD,"Home Depot, Inc. (The)",Consumer Cyclical,United States,USD,344214634496.0,24.482977,24.806696,16.506,2.0178,2.66,128.38,459.356,8.411,11.926,1.0,344.214634496,0.7,24.84,-28.81,0.16
HSBC,"HSBC Holdings, plc.",Financial Services,United Kingdom,USD,334047150080.0,16.099173,7.6594906,,0.9451,3.8,11.611,,34.977000000000004,50.684,1.0,334.04715008,1.3,27.17,-16.28,0.24
PLTR,Palantir Technologies Inc.,Technology,United States,USD,322126807040.0,150.97752,38.11915,155.788,1.8605,,32.586999999999996,2.477,43.673,46.183997,1.0,322.12680704,1.4,51.68,-48.22,0.11
ARM,Arm Holdings plc,Technology,United Kingdom,USD,320882900992.0,357.65475,38.580967,298.462,2.6009,,11.9540006,5.926,18.374,29.53,1.0,320.882900992,3.02,71.71,-41.47,0.18
NFLX,"Netflix, Inc.",Communication Services,United States,USD,320778633216.0,24.574194,10.30992,22.725,1.4932,,48.494998,53.788,28.521,32.303002,1.0,320.778633216,0.16,34.54,-44.97,0.03
MRK,"Merck & Company, Inc.",Healthcare,United States,USD,318261592064.0,36.29859,6.936908,12.081,6.2638,2.68,18.944,106.936,13.586001,38.604,1.0,318.261592064,0.26,27.93,-11.37,0.1
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,United States,USD,307686834176.0,19.042906,2.9274905,,1.5772,1.71,14.548,678.596,29.363,38.599998,1.0,307.686834176,1.37,28.7,-19.42,0.24
NVS,Novartis AG,Healthcare,Switzerland,USD,299627675648.0,22.497135,7.7799244,14.839,4.1927,3.05,34.929,120.734,23.921,30.479,1.0,299.627675648,0.43,21.65,-12.65,0.15
AZN,AstraZeneca PLC,Healthcare,United Kingdom,USD,299505352704.0,29.084337,6.319992,16.256,1.4233,1.66,23.482999,71.815,17.188999,27.943,1.0,299.505352704,0.46,26.93,-16.15,0.12
PM,Philip Morris International Inc,Consumer Defensive,United States,USD,292681744384.0,26.486599,-31.54014,18.095,2.5437,3.18,,,26.741999999999997,36.044,1.0,292.681744384,-0.04,28.22,-20.51,0.02
RY,Royal Bank Of Canada,Financial Services,Canada,USD,290536718336.0,19.286901,3.1846836,,2.34,2.45,16.203,,33.687,45.286998,1.0,290.536718336,0.62,15.16,-10.04,0.21
GEV,GE Vernova Inc.,Industrials,United States,USD,289432928256.0,31.475159,20.789438,89.225,1.9231,0.17,75.708,24.925,23.809999,5.461,1.0,289.432928256,1.98,51.95,-24.57,0.17
IBM,International Business Machines,Technology,United States,USD,287727091712.0,27.115147,8.725879,20.819,2.7036,2.26,35.772,211.169,15.606,13.809,1.0,287.727091712,0.79,40.81,-30.96,0.1
KLAC,KLA Corporation,Technology,United States,USD,282769391616.0,61.497158,48.524994,48.538,2.4364,0.39,94.975996,105.4,35.661998,41.215,1.0,282.769391616,2.58,57.26,-28.25,0.19
PANW,"Palo Alto Networks, Inc.",Technology,United States,USD,274687606784.0,295.64914,9.90362,195.757,5.6803,,4.8309997000000005,7.698,7.947,-2.465,1.0,274.687606784,0.91,40.81,-36.01,0.09
RTX,RTX Corporation,Industrials,United States,USD,270481375232.0,37.61236,4.0809073,19.941,2.7594,1.45,11.571,57.229,8.0290005,13.182001,1.0,270.481375232,0.49,24.85,-19.32,0.13
DELL,Dell Technologies Inc.,Technology,United States,USD,269622296576.0,33.222927,-192.91724,20.674,0.6467,0.61,,,6.2750004,8.857000600000001,1.0,269.622296576,1.71,67.06,-32.34,0.11
TXN,Texas Instruments Incorporated,Technology,United States,USD,266930208768.0,50.05119,15.908227,32.909,1.4483,1.87,32.347,83.741,29.108,37.824002,1.0,266.930208768,1.2,43.33,-29.57,0.13
WFC,Wells Fargo & Company,Financial Services,United States,USD,266787323904.0,13.474498,1.6389066,,1.5527,2.06,12.028,,26.741999999999997,29.447000000000003,1.0,266.787323904,0.65,26.89,-23.02,0.16
LIN,Linde plc,Basic Materials,United Kingdom,USD,248849170432.0,35.691643,6.456074,20.079,2.2876,1.18,18.229,65.642,20.436001,28.471002000000002,1.0,248.849170432,0.17,17.7,-19.18,0.07
C,"Citigroup, Inc.",Financial Services,United States,USD,240094068736.0,17.42203,1.2543552,,0.7258,1.67,7.649,,20.356001000000003,34.078,1.0,240.094068736,1.16,28.32,-14.76,0.21
MUFG,"Mitsubishi UFJ Financial Group,",Financial Services,Japan,USD,240084631552.0,16.25191,1.7312156,,1.8571,2.55,11.911,,28.508,39.532002999999996,1.0,240.084631552,1.02,26.0,-17.28,0.21
SNDK,Sandisk Corporation,Technology,United States,USD,239564800000.0,55.19277,17.37818,41.91,,,39.297,1.503,34.185,69.98299999999999,1.0,239.5648,3.79,107.13,-31.34,0.14
AXP,American Express Company,Financial Services,United States,USD,238527676416.0,21.821472,7.0132003,,1.675,1.07,34.419,177.847,16.305,21.245001,1.0,238.527676416,0.84,26.35,-23.9,0.18
BABA,Alibaba Group Holding Limited,Consumer Cyclical,China,USD,235348377600.0,15.16847,1.4556547,2.355,0.3952,1.07,9.2159994,25.014,10.12,1.01499995,1.0,235.3483776,1.29,44.06,-49.47,0.12
SHEL,Shell PLC,Energy,United Kingdom,USD,227201810432.0,12.771028,1.331655,5.795,1.1641,4.0,10.697,43.324,7.013999999999999,14.873,1.0,227.201810432,0.13,21.65,-17.98,0.05
NVO,Novo Nordisk A/S,Healthcare,Denmark,USD,219647328256.0,11.904077,7.1086826,1.976,3.6308,3.66,71.402,72.086,37.205002,61.574,1.0,219.647328256,1.22,51.93,-49.17,0.13
TM,Toyota Motor Corporation,Consumer Cyclical,Japan,USD,212463992832.0,9.83178,15.179489,6.218,,3.49,10.233,107.061,7.5920000000000005,4.566,1.0,212.463992832,1.11,29.56,-32.94,0.2
ANET,"Arista Networks, Inc.",Technology,United States,USD,209601347584.0,57.20275,15.541033,48.58,2.0433,,31.520998,,38.317,42.738998,1.0,209.601347584,1.88,54.24,-28.33,0.14
