ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,5145751453696.0,31.427513,26.3259,30.819,0.6315,0.49,114.28799999999998,6.555,62.966,65.596,1.0,5145.751453696,1.55,35.16,-20.21,0.16
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4504199102464.0,27.4814,9.347321,27.549,1.4162,0.24,38.884997,20.026,37.919000000000004,36.120999999999995,1.0,4504.199102464,1.17,29.47,-20.37,0.17
AAPL,Apple Inc.,Technology,United States,USD,4353626210304.0,35.842804,40.8292,27.316,2.3524,0.36,141.47099,79.548,27.152001999999996,32.275,1.0,4353.626210304,0.76,22.73,-13.8,0.16
MSFT,Microsoft Corporation,Technology,United States,USD,2969591349248.0,23.25538,7.167112,16.355,1.2046,0.91,34.013999,30.271,39.341998000000004,46.326,1.0,2969.591349248,0.62,25.57,-33.91,0.06
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2646464266240.0,32.628647,5.986908,17.573,1.8344,,24.285,53.3,12.224,13.139999999999999,1.0,2646.46426624,1.19,30.35,-21.74,0.16
SPCX,Space Exploration Technologies ,Industrials,United States,USD,2519989485568.0,,32.32035,286.028,,,,73.597,-44.998002,-41.627997,1.0,2519.989485568,,,0.0,
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2289309581312.0,36.50951,67.51968,5.626,1.324,0.9,36.21,18.447,46.505,58.105,1.0,2289.309581312,1.94,36.91,-18.14,0.23
AVGO,Broadcom Inc.,Technology,United States,USD,1874201149440.0,63.74434,21.374931,45.611,0.6943,0.68,37.280998,74.018,38.848,48.988,1.0,1874.20114944,1.88,45.71,-28.67,0.16
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1544165785600.0,370.4054,18.776545,136.65,5.5963,,4.901,18.738,3.946,4.202999999999999,1.0,1544.1657856,1.79,44.57,-29.93,0.17
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1506503426048.0,20.621264,6.1812463,13.833,0.8192,0.37,32.930002,35.608,32.836999999999996,40.617,1.0,1506.503426048,1.23,35.84,-33.3,0.13
MU,"Micron Technology, Inc.",Technology,United States,USD,1226963288064.0,46.297447,16.937124,33.239,0.3359,0.06,39.823002,14.902,41.486000000000004,67.624,1.0,1226.963288064,2.9,70.57,-30.28,0.17
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1068764168192.0,14.556991,0.0009801419,-2.25,,,10.499,17.669,19.305,14.352,1.0,1068.764168192,0.07,14.47,-9.42,0.06
LLY,Eli Lilly and Company,Healthcare,United States,USD,1007088107520.0,40.319527,32.34384,28.86,1.5188,0.61,107.45899999999999,139.015,34.986,49.386,1.0,1007.08810752,0.54,38.13,-23.18,0.08
WMT,Walmart Inc.,Consumer Defensive,United States,USD,961495105536.0,42.542255,9.664826,23.038,4.7646,0.82,24.132,74.816,3.1350000000000002,4.2150001999999995,1.0,961.495105536,0.02,23.73,-15.75,0.03
AMD,"Advanced Micro Devices, Inc.",Technology,United States,USD,892362489856.0,169.43034,13.838218,118.962,1.2306,,8.062999999999999,6.005,13.374,14.396,1.0,892.362489856,2.69,66.69,-27.76,0.17
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,855835869184.0,15.363154,2.4879458,,1.7025,1.87,16.465001,,33.936,43.741,1.0,855.835869184,0.8,21.73,-15.47,0.23
ASML,ASML Holding N.V. - New York Re,Technology,Netherlands,USD,729464635392.0,63.469486,1681.8152,3189.311,2.7506,0.46,52.236000000000004,12.989,29.713,36.020002,1.0,729.464635392,2.15,42.76,-17.85,0.24
INTC,Intel Corporation,Technology,United States,USD,642624323584.0,,5.765433,47.161,,,-2.911,36.028,-5.904,6.8790000000000004,1.0,642.624323584,2.34,73.87,-24.17,0.14
V,Visa Inc.,Financial Services,United States,USD,615822655488.0,28.084997,17.370455,20.595,1.4149,0.83,60.349,67.233,51.679003,67.34599999999999,1.0,615.822655488,0.36,21.86,-17.18,0.11
XOM,Exxon Mobil Corporation,Energy,United States,USD,584105984000.0,24.766256,2.2703764,11.248,1.2202,2.92,9.873,18.261,7.7649995999999994,6.3549999999999995,1.0,584.105984,-0.4,24.9,-17.26,-0.05
JNJ,Johnson & Johnson,Healthcare,United States,USD,567284727808.0,27.921803,6.9856234,17.486,3.1306,2.23,26.416,67.73,21.834,27.407999999999998,1.0,567.284727808,0.07,17.1,-10.96,0.06
ORCL,Oracle Corporation,Technology,United States,USD,554041540608.0,32.9863,16.512943,21.385,1.0406,1.09,53.376000000000005,362.758,25.368000000000002,36.259,1.0,554.041540608,1.51,64.49,-58.25,0.08
LRCX,Lam Research Corporation,Technology,United States,USD,486372081664.0,69.450005,45.94991,61.846,2.1358,0.27,66.762,35.282,30.938998,35.042998,1.0,486.372081664,2.79,53.05,-20.01,0.25
CSCO,"Cisco Systems, Inc.",Technology,United States,USD,473642205184.0,40.325504,9.690348,28.812,1.6806,1.4,25.229000000000003,67.541,19.685,24.992001,1.0,473.642205184,0.85,30.94,-13.57,0.14
AMAT,"Applied Materials, Inc.",Technology,United States,USD,465085562880.0,53.495895,19.452084,50.024,1.8864,0.37,39.692003,30.399,29.314,31.896,1.0,465.08556288,2.3,49.11,-21.37,0.23
ARM,Arm Holdings plc,Technology,United Kingdom,USD,440635883520.0,453.35162,52.97932,410.938,3.3097,,11.9540006,5.926,18.374,29.53,1.0,440.63588352,2.94,69.43,-41.47,0.19
COST,Costco Wholesale Corporation,Consumer Defensive,United States,USD,434365333504.0,49.51719,26.27421,31.374,4.7946,0.6,29.152,60.257,3.01,3.6730002999999996,1.0,434.365333504,-0.05,18.82,-15.14,0.01
MA,Mastercard Incorporated,Financial Services,United States,USD,433521590272.0,28.327946,64.762405,20.782,1.5076,0.71,232.076,282.059,45.876,60.836,1.0,433.521590272,0.3,21.91,-20.91,0.09
CAT,"Caterpillar, Inc.",Industrials,United States,USD,430160642048.0,45.248547,23.053738,32.284,2.1599,0.7,51.331,230.793,13.328000000000001,18.180001,1.0,430.160642048,1.64,35.33,-13.88,0.25
BAC,Bank of America Corporation,Financial Services,United States,USD,396486508544.0,13.898009,1.4450134,,1.0014,2.0,10.644,,28.956,35.955999999999996,1.0,396.486508544,0.71,21.6,-17.93,0.21
ABBV,AbbVie Inc.,Healthcare,United States,USD,391503609856.0,111.35175,-58.823997,15.212,0.6277,3.12,,,5.7860000000000005,32.156,1.0,391.503609856,0.15,24.55,-17.32,0.07
UNH,UnitedHealth Group Incorporated,Healthcare,United States,USD,373283684352.0,30.766468,3.813058,19.913,1.4156,2.27,12.175999599999999,73.982,2.6780000000000004,8.0469996,1.0,373.283684352,0.48,40.14,-28.96,0.08
CVX,Chevron Corporation,Energy,United States,USD,359284211712.0,32.563175,1.9417475,10.618,0.7546,3.8,6.638,23.989,5.9270002,7.312,1.0,359.284211712,-0.35,22.47,-13.99,-0.05
GE,GE Aerospace,Industrials,United States,USD,357603409920.0,41.688187,19.775814,33.349,8.0694,0.56,45.428002,116.527,17.863001,20.207000999999998,1.0,357.60340992,1.25,31.7,-20.85,0.2
PG,Procter & Gamble Company (The),Consumer Defensive,United States,USD,350361026560.0,21.869186,6.518782,15.017,4.1996,2.85,31.112000000000002,67.651,19.162000000000003,23.047,1.0,350.36102656,0.07,18.76,-15.52,0.05
KO,Coca-Cola Company (The),Consumer Defensive,United States,USD,348113862656.0,25.932693,10.351843,22.796,4.2304,2.57,43.372001999999995,124.943,27.800000000000004,35.055,1.0,348.113862656,-0.16,16.82,-7.87,-0.01
NFLX,"Netflix, Inc.",Communication Services,United States,USD,343895900160.0,25.926983,11.052917,24.393,1.5781,,48.494998,53.788,28.521,32.303002,1.0,343.89590016,0.23,33.21,-43.35,0.03
