ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,4785584996352.0,30.30368,24.483273,28.645,0.6158,0.5,114.28799999999998,6.555,62.966,65.596,1.0,4785.584996352,1.59,35.27,-20.21,0.16
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4407691313152.0,27.53125,9.141316,26.649,1.4071,0.25,38.884997,20.026,37.919000000000004,36.120999999999995,1.0,4407.691313152,1.18,29.91,-20.37,0.17
AAPL,Apple Inc.,Technology,United States,USD,4323663937536.0,35.682426,40.54821,26.667,2.3381,0.37,141.47099,79.548,27.152001999999996,32.275,1.0,4323.663937536,0.75,23.71,-13.8,0.14
MSFT,Microsoft Corporation,Technology,United States,USD,2854599000064.0,22.887432,6.889578,15.732,1.1499,0.98,34.013999,30.271,39.341998000000004,46.326,1.0,2854.599000064,0.57,27.17,-34.5,0.06
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2599993475072.0,32.09827,5.8817806,17.043,1.8344,,24.285,53.3,12.224,13.139999999999999,1.0,2599.993475072,1.16,31.12,-21.74,0.15
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2303987286016.0,38.595135,99.79742,5.667,1.5043,0.8,36.21,18.447,46.505,58.105,1.0,2303.987286016,2.03,39.14,-18.14,0.21
SPCX,Space Exploration Technologies ,Industrials,United States,USD,2075461287936.0,,26.450638,234.773,,,,73.597,-44.998002,-41.627997,1.0,2075.461287936,,,-27.62,0.11
AVGO,Broadcom Inc.,Technology,United States,USD,1757164732416.0,61.45424,20.040152,42.83,0.6865,0.69,37.280998,74.018,38.848,48.988,1.0,1757.164732416,1.87,46.49,-28.67,0.15
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1597309321216.0,390.18347,19.422752,139.85,6.1626,,4.901,18.738,3.946,4.202999999999999,1.0,1597.309321216,1.83,44.1,-29.93,0.17
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1555824902144.0,22.295744,6.3836145,13.132,0.8139,0.37,32.930002,35.608,32.836999999999996,40.617,1.0,1555.824902144,1.17,37.26,-33.3,0.12
MU,"Micron Technology, Inc.",Technology,United States,USD,1165850050560.0,23.34947,16.069866,18.821,0.1715,0.05,66.63799999999999,6.33,55.906,80.370003,1.0,1165.85005056,3.12,75.53,-30.28,0.15
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1077866070016.0,14.8820715,0.0009884891,-2.25,,,10.499,17.669,19.305,14.352,1.0,1077.866070016,0.04,14.45,-9.42,0.06
LLY,Eli Lilly and Company,Healthcare,United States,USD,1062723846144.0,42.275272,34.130653,30.397,1.5513,0.58,107.45899999999999,139.015,34.986,49.386,1.0,1062.723846144,0.49,38.62,-23.18,0.08
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,895144361984.0,15.999522,2.602217,,1.7309,1.83,16.465001,,33.936,43.741,1.0,895.144361984,0.72,22.24,-15.47,0.2
AMD,"Advanced Micro Devices, Inc.",Technology,United States,USD,881959239680.0,179.09933,13.67689,126.347,1.3915,,8.062999999999999,6.005,13.374,14.396,1.0,881.95923968,2.78,68.01,-27.76,0.16
WMT,Walmart Inc.,Consumer Defensive,United States,USD,865998143488.0,38.316902,9.184672,20.908,4.3097,0.87,24.132,74.816,3.1350000000000002,4.2150001999999995,1.0,865.998143488,0.01,24.31,-18.91,0.03
ASML,ASML Holding N.V. - New York Re,Technology,Netherlands,USD,710340182016.0,62.60326,1668.6495,3352.417,2.9744,0.44,52.236000000000004,12.989,29.713,36.020002,1.0,710.340182016,2.24,45.14,-17.85,0.22
V,Visa Inc.,Financial Services,United States,USD,667664187392.0,30.635252,18.832743,21.8,1.5058,0.78,60.349,67.233,51.679003,67.34599999999999,1.0,667.664187392,0.3,21.48,-17.18,0.11
INTC,Intel Corporation,Technology,United States,USD,638402494464.0,,5.7275553,46.863,,,-2.911,36.028,-5.904,6.8790000000000004,1.0,638.402494464,2.47,76.04,-24.17,0.13
JNJ,Johnson & Johnson,Healthcare,United States,USD,611384950784.0,29.429895,7.5286794,18.771,4.8779,2.11,26.416,67.73,21.834,27.407999999999998,1.0,611.384950784,-0.01,17.97,-10.96,0.04
XOM,Exxon Mobil Corporation,Energy,United States,USD,564873396224.0,22.981451,2.195621,10.904,1.1288,3.01,9.873,18.261,7.7649995999999994,6.3549999999999995,1.0,564.873396224,-0.36,24.55,-20.11,-0.05
AMAT,"Applied Materials, Inc.",Technology,United States,USD,516796121088.0,61.2333,21.614862,61.785,2.4044,0.29,39.692003,30.399,29.314,31.896,1.0,516.796121088,2.43,54.29,-21.37,0.2
LRCX,Lam Research Corporation,Technology,United States,USD,489298427904.0,73.9622,46.22637,62.219,2.5009,0.24,66.762,35.282,30.938998,35.042998,1.0,489.298427904,2.93,56.83,-20.01,0.23
MA,Mastercard Incorporated,Financial Services,United States,USD,461619560448.0,30.26883,68.95987,22.097,1.5803,0.68,232.076,282.059,45.876,60.836,1.0,461.619560448,0.25,21.36,-20.91,0.09
CSCO,"Cisco Systems, Inc.",Technology,United States,USD,461187284992.0,39.003334,9.43553,28.184,1.6301,1.43,25.229000000000003,67.541,19.685,24.992001,1.0,461.187284992,0.87,31.57,-13.57,0.14
CAT,"Caterpillar, Inc.",Industrials,United States,USD,456635482112.0,49.250374,24.47261,34.102,2.526,0.61,51.331,230.793,13.328000000000001,18.180001,1.0,456.635482112,1.68,37.6,-13.88,0.22
ABBV,AbbVie Inc.,Healthcare,United States,USD,443571011584.0,123.06863,-66.6472,16.953,0.41,2.75,,,5.7860000000000005,32.156,1.0,443.571011584,0.08,25.6,-17.32,0.06
BAC,Bank of America Corporation,Financial Services,United States,USD,414157045760.0,14.481389,1.5094144,,1.0174,1.97,10.644,,28.956,35.955999999999996,1.0,414.15704576,0.65,21.68,-17.93,0.19
ORCL,Oracle Corporation,Technology,United States,USD,410467106816.0,24.44254,10.927914,18.086,0.8282,1.36,53.376000000000005,388.87,25.368000000000002,36.202,1.0,410.467106816,1.51,64.79,-58.25,0.08
COST,Costco Wholesale Corporation,Consumer Defensive,United States,USD,410071564288.0,46.395885,24.80471,29.964,4.5617,0.63,29.152,60.257,3.01,3.6730002999999996,1.0,410.071564288,-0.08,18.98,-15.5,0.01
GE,GE Aerospace,Industrials,United States,USD,391748419584.0,46.63433,21.664068,36.324,8.9943,0.5,45.428002,116.527,17.863001,20.207000999999998,1.0,391.748419584,1.19,31.5,-20.85,0.2
UNH,UnitedHealth Group Incorporated,Healthcare,United States,USD,387359899648.0,32.07068,3.9568455,20.569,1.4402,2.23,12.175999599999999,73.982,2.6780000000000004,8.0469996,1.0,387.359899648,0.45,39.72,-28.96,0.07
ARM,Arm Holdings plc,Technology,United Kingdom,USD,360444559360.0,397.02353,43.337612,352.774,3.0816,,11.9540006,5.926,18.374,29.53,1.0,360.44455936,3.01,71.21,-41.47,0.18
HD,"Home Depot, Inc. (The)",Consumer Cyclical,United States,USD,349828415488.0,24.935324,25.211267,16.514,1.9884,2.64,128.38,459.356,8.411,11.926,1.0,349.828415488,0.72,24.63,-28.81,0.16
KO,Coca-Cola Company (The),Consumer Defensive,United States,USD,349748789248.0,25.562893,10.400461,22.894,4.1549,2.61,43.372001999999995,124.943,27.800000000000004,35.055,1.0,349.748789248,-0.2,16.9,-7.87,-0.02
KLAC,KLA Corporation,Technology,United States,USD,347717402624.0,75.407936,59.67048,67.571,3.1207,0.3,94.975996,105.4,35.661998,41.215,1.0,347.717402624,2.57,55.45,-22.41,0.2
PG,Procter & Gamble Company (The),Consumer Defensive,United States,USD,343305355264.0,21.585651,6.3875046,14.736,4.1191,2.9,31.112000000000002,67.651,19.162000000000003,23.047,1.0,343.305355264,0.03,19.08,-15.52,0.04
MS,Morgan Stanley,Financial Services,United States,USD,334163574784.0,19.190218,3.201366,,2.5132,1.91,16.387999999999998,502.246,24.753,40.616,1.0,334.163574784,1.17,26.42,-18.83,0.23
CVX,Chevron Corporation,Energy,United States,USD,329987817472.0,28.865856,1.7834156,9.851,0.6668,4.3,6.638,23.989,5.9270002,7.312,1.0,329.987817472,-0.32,22.51,-20.81,-0.05
HSBC,"HSBC Holdings, plc.",Financial Services,United Kingdom,USD,328593997824.0,15.836363,7.5344534,,0.9286,3.94,11.611,,34.977000000000004,50.684,1.0,328.593997824,1.29,27.07,-16.28,0.23
NFLX,"Netflix, Inc.",Communication Services,United States,USD,312399167488.0,23.93226,10.040602,22.186,1.4025,,48.494998,53.788,28.521,32.303002,1.0,312.399167488,0.18,34.17,-45.34,0.03
