ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,5009871732736.0,31.675343,25.630732,30.279,0.575,0.48,114.28799999999998,6.555,62.966,65.596,1.0,5009.871732736,1.6,35.92,-20.21,0.15
AAPL,Apple Inc.,Technology,United States,USD,4891182891008.0,40.268436,45.87052,30.676,2.5882,0.34,141.47099,79.548,27.152001999999996,32.275,1.0,4891.182891008,0.73,24.86,-13.8,0.13
GOOGL,Alphabet Inc.,Communication Services,United States,USD,3910399426560.0,16.051205,6.2822223,21.975,1.2508,0.28,48.676,17.605,54.771,34.033,1.0,3910.39942656,1.24,31.47,-21.05,0.16
MSFT,Microsoft Corporation,Technology,United States,USD,2835433652224.0,22.73377,6.8433228,15.628,1.1803,0.95,34.013999,30.271,39.341998000000004,46.326,1.0,2835.433652224,0.54,27.69,-34.5,0.05
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2496832733184.0,27.731184,5.6484075,16.613,1.2539,,24.285,53.3,12.224,13.139999999999999,1.0,2496.832733184,1.17,31.55,-21.74,0.14
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2092275466240.0,35.41791,84.03323,4.645,1.0629,0.91,39.969003,15.174,49.923,60.344005,1.0,2092.27546624,2.07,39.91,-18.14,0.2
AVGO,Broadcom Inc.,Technology,United States,USD,1817015091200.0,63.653336,20.722734,45.445,0.4412,0.66,37.280998,74.018,38.848,48.988,1.0,1817.0150912,1.89,47.4,-28.67,0.13
SPCX,Space Exploration Technologies ,Industrials,United States,USD,1515953717248.0,,19.320013,177.089,,,,73.597,-44.998002,-41.627997,1.0,1515.953717248,3.11,104.86,-45.57,0.09
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1510844137472.0,21.627542,6.199056,13.873,0.8841,0.35,32.930002,35.608,32.836999999999996,40.617,1.0,1510.844137472,1.22,39.06,-33.3,0.11
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1236326809600.0,336.5914,14.295566,112.463,4.0061,,4.6669997,18.373,3.671,1.4099999,1.0,1236.3268096,1.96,46.41,-36.1,0.16
