ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,5453600260096.0,34.480858,27.90087,32.698,0.5992,0.45,114.28799999999998,6.555,62.966,65.596,1.0,5453.600260096,1.63,36.88,-20.21,0.15
AAPL,Apple Inc.,Technology,United States,USD,4464797286400.0,35.04353,41.566574,26.655,2.4856,0.36,148.75101,78.445,27.618998,32.623002,1.0,4464.7972864,0.63,25.03,-13.8,0.12
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4230334382080.0,17.364458,6.7962117,23.864,0.9689,0.26,48.676,18.859,54.771,34.033,1.0,4230.33438208,1.19,32.82,-21.05,0.14
MSFT,Microsoft Corporation,Technology,United States,USD,3678615371776.0,27.61427,8.316965,19.263,1.6526,0.73,34.039003,29.118,40.305,45.111000000000004,1.0,3678.615371776,0.7,32.2,-34.5,0.07
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2833025073152.0,21.13033,5.134295,17.692,1.4805,,30.558002000000002,45.617,17.44,13.689000000000002,1.0,2833.025073152,1.18,34.47,-21.74,0.13
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2211253321728.0,32.15309,88.91518,4.786,1.0092,1.01,39.969003,15.174,49.923,60.344005,1.0,2211.253321728,2.12,40.49,-21.55,0.21
AVGO,Broadcom Inc.,Technology,United States,USD,1869681393664.0,65.28073,21.323385,45.511,0.4748,0.62,37.280998,74.018,38.848,48.988,1.0,1869.681393664,1.93,48.09,-28.67,0.14
SPCX,Space Exploration Technologies ,Industrials,United States,USD,1844386201600.0,,14.498757,615.669,,,,31.211,-35.661998,-1.804,1.0,1844.3862016,3.27,108.69,-48.78,0.1
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1502646501376.0,22.224941,5.7535114,14.024,0.8881,0.36,29.848000000000003,42.997,29.834998000000002,34.827000000000005,1.0,1502.646501376,1.11,38.51,-32.89,0.11
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1351811596288.0,314.00916,15.561263,122.353,4.8481,,4.6669997,18.373,3.671,1.4099999,1.0,1351.811596288,1.97,46.48,-39.1,0.16
SKHY,SK hynix Inc.,Technology,South Korea,USD,1180701687808.0,22.2664,6.340656,-0.475,0.2662,,92.67999999999999,7.075,85.682,76.328003,1.0,1180.701687808,5.98,149.35,-34.62,0.08
