ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,5023435063296.0,31.809814,25.700125,30.826,0.654,0.47,114.28799999999998,6.555,62.966,65.596,1.0,5023.435063296,1.6,35.88,-20.21,0.16
AAPL,Apple Inc.,Technology,United States,USD,4894708203520.0,40.395153,45.90358,30.169,2.6463,,141.47099,79.548,27.152001999999996,32.275,1.0,4894.70820352,0.73,24.49,-13.8,0.13
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4325323833344.0,27.078686,8.970491,27.667,1.4604,,38.884997,20.026,37.919000000000004,36.120999999999995,1.0,4325.323833344,1.2,30.5,-20.37,0.17
MSFT,Microsoft Corporation,Technology,United States,USD,2979545219072.0,23.91771,7.1911364,16.409,1.2196,0.92,34.013999,30.271,39.341998000000004,46.326,1.0,2979.545219072,0.53,27.43,-34.5,0.05
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2688094044160.0,29.89115,6.0810847,18.19,1.4684,,24.285,53.3,12.224,13.139999999999999,1.0,2688.09404416,1.16,31.23,-21.74,0.15
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2125105856512.0,35.660576,92.7175,5.307,1.3111,0.9,36.21,18.447,46.505,58.105,1.0,2125.105856512,2.05,39.48,-18.14,0.21
AVGO,Broadcom Inc.,Technology,United States,USD,1781475966976.0,62.512524,20.317417,43.407,0.4432,0.66,37.280998,74.018,38.848,48.988,1.0,1781.475966976,1.9,47.37,-28.67,0.14
SPCX,Space Exploration Technologies ,Industrials,United States,USD,1727267602432.0,,22.013096,195.98,,,,73.597,-44.998002,-41.627997,1.0,1727.267602432,3.45,114.15,-37.98,0.09
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1686883794944.0,24.147528,6.9213543,15.873,0.9844,,32.930002,35.608,32.836999999999996,40.617,1.0,1686.883794944,1.2,38.75,-33.3,0.12
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1468713271296.0,355.5091,17.859068,131.0,4.9431,,4.901,18.738,3.946,4.202999999999999,1.0,1468.713271296,1.86,44.73,-29.93,0.16
SKHY,SK hynix Inc.,Technology,South Korea,USD,1081179963392.0,22.202623,9.844734,-0.34,0.6406,,61.172000000000004,13.282,56.88999999999999,71.535003,1.0,1081.179963392,,,-21.46,0.04
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1063587741696.0,14.676191,0.0009753947,-2.25,,,10.499,17.669,19.305,14.352,1.0,1063.587741696,0.02,14.59,-9.42,0.05
LLY,Eli Lilly and Company,Healthcare,United States,USD,1042597281792.0,41.59267,33.484264,29.532,1.5497,0.6,107.45899999999999,139.015,34.986,49.386,1.0,1042.597281792,0.43,38.55,-23.18,0.07
MU,"Micron Technology, Inc.",Technology,United States,USD,963598221312.0,19.294437,13.282065,14.682,0.1329,0.06,66.63799999999999,6.33,55.906,80.370003,1.0,963.598221312,3.17,76.68,-30.28,0.15
WMT,Walmart Inc.,Consumer Defensive,United States,USD,914781175808.0,40.475353,9.70206,21.996,4.282,0.88,24.132,74.816,3.1350000000000002,4.2150001999999995,1.0,914.781175808,-0.02,24.45,-18.91,0.02
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,912161308672.0,14.695931,2.5799394,,1.8228,1.73,17.788999999999998,,34.921002,50.394000000000005,1.0,912.161308672,0.72,22.19,-15.47,0.21
AMD,"Advanced Micro Devices, Inc.",Technology,United States,USD,816833036288.0,165.87418,12.666953,114.985,1.2675,,8.062999999999999,6.005,13.374,14.396,1.0,816.833036288,2.88,69.13,-27.76,0.16
V,Visa Inc.,Financial Services,United States,USD,694402744320.0,31.83435,19.586954,22.554,1.5613,,60.349,67.233,51.679003,67.34599999999999,1.0,694.40274432,0.25,21.92,-17.18,0.1
ASML,ASML Holding N.V. - New York Re,Technology,Netherlands,USD,685568557056.0,56.842995,1606.7284,,2.7047,,,,0.0,0.0,1.0,685.568557056,2.31,45.13,-17.85,0.22
XOM,ExxonMobil Holdings Corporation,Energy,United States,USD,604955017216.0,24.570705,2.378159,11.62,1.1994,2.85,9.873,18.261,7.7649995999999994,6.3549999999999995,1.0,604.955017216,-0.42,25.07,-20.11,-0.06
JNJ,Johnson & Johnson,Healthcare,United States,USD,601732022272.0,28.99884,7.4098115,,4.7445,2.17,,67.73,21.482,28.345,1.0,601.732022272,-0.07,17.99,-10.96,0.04
INTC,Intel Corporation,Technology,United States,USD,487421476864.0,,4.372999,36.24,,,-2.911,36.028,-5.904,6.8790000000000004,1.0,487.421476864,2.54,77.47,-31.19,0.13
MA,Mastercard Incorporated,Financial Services,United States,USD,487331823616.0,31.89936,72.80095,23.3,1.6447,0.65,232.076,282.059,45.876,60.836,1.0,487.331823616,0.2,21.87,-20.91,0.09
ABBV,AbbVie Inc.,Healthcare,United States,USD,449454440448.0,124.09268,-67.53119,17.149,0.399,2.83,,,5.7860000000000005,32.156,1.0,449.454440448,0.02,26.08,-17.32,0.05
AMAT,"Applied Materials, Inc.",Technology,United States,USD,445355655168.0,52.917923,18.626884,49.496,1.4638,0.37,39.692003,30.399,29.314,31.896,1.0,445.355655168,2.48,55.89,-23.31,0.19
