ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,5268067319808.0,33.307808,26.951674,31.557,0.5992,0.46,114.28799999999998,6.555,62.966,65.596,1.0,5268.067319808,1.62,36.79,-20.21,0.16
AAPL,Apple Inc.,Technology,United States,USD,4449911701504.0,34.966743,41.42799,26.916,2.4856,0.35,148.75101,78.445,27.618998,32.623002,1.0,4449.911701504,0.64,25.05,-13.8,0.12
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4204651610112.0,17.267704,6.754951,24.652,0.9689,0.25,48.676,18.859,54.771,34.033,1.0,4204.651610112,1.19,32.83,-21.05,0.14
MSFT,Microsoft Corporation,Technology,United States,USD,3741064101888.0,28.036173,8.458155,19.614,1.6526,0.72,34.039003,29.118,40.305,45.111000000000004,1.0,3741.064101888,0.7,32.15,-34.5,0.07
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2936789270528.0,21.904263,5.322347,18.52,1.4805,,30.558002000000002,45.617,17.44,13.689000000000002,1.0,2936.789270528,1.18,34.53,-21.74,0.13
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2189003194368.0,36.95797,88.02049,4.73,1.0092,0.91,39.969003,15.174,49.923,60.344005,1.0,2189.003194368,2.12,40.49,-21.55,0.21
AVGO,Broadcom Inc.,Technology,United States,USD,1979533885440.0,69.346664,22.576233,48.114,0.4748,0.62,37.280998,74.018,38.848,48.988,1.0,1979.53388544,1.92,47.75,-28.67,0.14
SPCX,Space Exploration Technologies ,Industrials,United States,USD,1756999319552.0,,13.803852,585.67,,,,31.211,-35.661998,-1.804,1.0,1756.999319552,3.23,109.69,-48.78,0.1
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1526261874688.0,22.582735,5.843933,14.022,0.8881,0.35,29.848000000000003,42.997,29.834998000000002,34.827000000000005,1.0,1526.261874688,1.11,38.27,-33.3,0.11
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1314448867328.0,305.33026,15.1311655,119.018,4.8481,,4.6669997,18.373,3.671,1.4099999,1.0,1314.448867328,1.97,46.33,-39.1,0.17
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1105419698176.0,12.987425,0.0010355291,-1.79,,,12.1199995,17.142,22.296,32.561,1.0,1105.419698176,0.02,14.64,-9.42,0.06
LLY,Eli Lilly and Company,Healthcare,United States,USD,1083483619328.0,40.75881,34.79738,27.069,1.5497,0.56,102.28600000000002,162.071,33.528998,54.222,1.0,1083.483619328,0.36,35.92,-23.18,0.07
SKHY,SK hynix Inc.,Technology,South Korea,USD,1005509410816.0,18.886665,5.399831,-0.476,0.2662,,92.67999999999999,7.075,85.682,76.328003,1.0,1005.509410816,5.74,154.54,-34.62,0.08
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,962369748992.0,15.504925,2.721962,,1.7597,1.67,17.788999999999998,,34.921002,50.394000000000005,1.0,962.369748992,0.72,22.33,-15.47,0.21
WMT,Walmart Inc.,Consumer Defensive,United States,USD,901332074496.0,39.880283,9.55942,21.589,4.2943,0.88,24.132,74.816,3.1350000000000002,4.2150001999999995,1.0,901.332074496,-0.07,24.54,-19.23,0.02
AMD,"Advanced Micro Devices, Inc.",Technology,United States,USD,774315573248.0,121.620514,11.515137,79.242,1.0056,,10.196,6.361,15.577,17.25,1.0,774.315573248,3.05,71.75,-27.76,0.17
ASML,ASML Holding N.V. - New York Re,Technology,Netherlands,USD,691141869568.0,61.41229,1521.9963,2741.981,2.0855,0.52,53.942,9.092,30.114,37.057,1.0,691.141869568,2.33,46.26,-21.95,0.22
V,Visa Inc.,Financial Services,United States,USD,677402116096.0,30.9046,19.227345,21.698,1.6386,0.74,61.19,67.821,50.782000000000004,66.130996,1.0,677.402116096,0.19,21.91,-17.18,0.09
XOM,ExxonMobil Holdings Corporation,Energy,United States,USD,657083531264.0,20.56628,2.533291,10.239,1.2507,2.58,12.584000000000001,15.921,9.072,15.859000000000002,1.0,657.083531264,-0.46,25.43,-20.11,-0.06
JNJ,Johnson & Johnson,Healthcare,United States,USD,626091622400.0,30.174215,7.3631105,18.765,4.3217,2.05,25.741999999999997,57.709,21.482,29.189999999999998,1.0,626.0916224,-0.13,18.33,-10.96,0.02
INTC,Intel Corporation,Technology,United States,USD,492849201152.0,,5.628781,31.372,,,-10.715,48.997,-19.794,12.189999,1.0,492.849201152,2.73,79.43,-41.9,0.14
MA,Mastercard Incorporated,Financial Services,United States,USD,491827003392.0,30.86531,87.77986,22.809,1.724,0.62,241.202,439.583,46.339000000000006,61.108,1.0,491.827003392,0.17,22.2,-20.91,0.08
CSCO,"Cisco Systems, Inc.",Technology,United States,USD,474666958848.0,40.143333,9.711313,29.368,1.2058,1.37,25.229000000000003,67.541,19.685,24.992001,1.0,474.666958848,0.87,32.98,-15.33,0.12
BAC,Bank of America Corporation,Financial Services,United States,USD,447535906816.0,14.780601,1.6267602,,1.0872,2.0,11.1990005,,29.524,38.305,1.0,447.535906816,0.64,21.28,-17.93,0.2
