ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
AAPL,Apple Inc.,Technology,United States,USD,4948317175808.0,40.788136,46.406334,30.676,2.6796,0.32,141.47099,79.548,27.152001999999996,32.275,1.0,4948.317175808,0.74,24.73,-13.8,0.14
NVDA,NVIDIA Corporation,Technology,United States,USD,4759668391936.0,30.0474,24.350681,28.488,0.5697,0.48,114.28799999999998,6.555,62.966,65.596,1.0,4759.668391936,1.61,36.01,-20.21,0.16
GOOGL,Alphabet Inc.,Communication Services,United States,USD,3993807618048.0,16.393574,6.416221,21.984,1.2589,0.28,48.676,18.859,54.771,34.033,1.0,3993.807618048,1.24,31.59,-21.05,0.16
MSFT,Microsoft Corporation,Technology,United States,USD,2890404200448.0,23.174507,6.9759936,15.628,1.1806,0.95,34.013999,30.271,39.341998000000004,46.326,1.0,2890.404200448,0.54,27.8,-34.5,0.05
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2489087688704.0,27.67823,5.630886,16.613,1.2456,,24.285,53.3,12.224,13.139999999999999,1.0,2489.087688704,1.17,31.66,-21.74,0.15
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2069869887488.0,35.19312,83.22204,4.43,1.033,0.94,39.969003,15.174,49.923,60.344005,1.0,2069.869887488,2.07,39.92,-18.14,0.2
AVGO,Broadcom Inc.,Technology,United States,USD,1823199985664.0,63.87,20.793272,44.399,0.4293,0.68,37.280998,74.018,38.848,48.988,1.0,1823.199985664,1.9,47.49,-28.67,0.14
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1507493412864.0,21.595272,6.185308,13.873,0.8682,0.35,32.930002,35.608,32.836999999999996,40.617,1.0,1507.493412864,1.22,39.17,-33.3,0.12
SPCX,Space Exploration Technologies ,Industrials,United States,USD,1495270162432.0,,19.056414,170.132,,,,73.597,-44.998002,-41.627997,1.0,1495.270162432,3.11,106.72,-46.31,0.1
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1221279088640.0,281.1091,14.12157,112.463,4.4496,,4.6669997,18.373,3.671,1.4099999,1.0,1221.27908864,1.97,46.45,-36.88,0.16
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1072344530944.0,14.792621,0.0009834254,-2.25,,,10.499,17.669,19.305,14.352,1.0,1072.344530944,0.01,14.58,-9.42,0.05
LLY,Eli Lilly and Company,Healthcare,United States,USD,1067887099904.0,42.601566,34.296474,30.539,1.6716,0.58,107.45899999999999,139.015,34.986,49.386,1.0,1067.887099904,0.42,38.76,-23.18,0.07
MU,"Micron Technology, Inc.",Technology,United States,USD,1016679759872.0,20.36191,14.013731,14.615,0.1353,0.06,66.63799999999999,6.33,55.906,80.370003,1.0,1016.679759872,3.2,77.72,-30.28,0.15
SKHY,SK hynix Inc.,Technology,South Korea,USD,1015234494464.0,19.974861,9.014509,-0.343,0.5394,,61.172000000000004,13.282,56.88999999999999,71.535003,1.0,1015.234494464,,,-26.25,0.06
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,946850889728.0,15.254818,2.6780546,,1.7737,1.7,17.788999999999998,,34.921002,50.394000000000005,1.0,946.850889728,0.71,22.31,-15.47,0.21
WMT,Walmart Inc.,Consumer Defensive,United States,USD,889235701760.0,39.34507,9.431128,21.023,4.1727,0.91,24.132,74.816,3.1350000000000002,4.2150001999999995,1.0,889.23570176,-0.02,24.69,-19.23,0.03
AMD,"Advanced Micro Devices, Inc.",Technology,United States,USD,807065747456.0,166.0906,12.515488,113.407,1.2503,,8.062999999999999,6.005,13.374,14.396,1.0,807.065747456,2.91,69.65,-27.76,0.16
V,Visa Inc.,Financial Services,United States,USD,689439178752.0,31.662008,19.446947,22.591,1.5639,0.75,60.349,67.233,51.679003,67.34599999999999,1.0,689.439178752,0.24,22.1,-17.18,0.1
XOM,ExxonMobil Holdings Corporation,Energy,United States,USD,641513488384.0,26.099495,2.5218754,12.433,1.3334,2.63,9.873,18.261,7.7649995999999994,6.3549999999999995,1.0,641.513488384,-0.43,25.05,-20.11,-0.06
JNJ,Johnson & Johnson,Healthcare,United States,USD,640912523264.0,30.888504,7.537411,19.19,4.3554,2.03,25.741999999999997,57.709,21.482,29.189999999999998,1.0,640.912523264,-0.09,18.13,-10.96,0.03
ASML,ASML Holding N.V. - New York Re,Technology,Netherlands,USD,635785379840.0,57.097622,1422.866,2779.333,2.2051,0.52,53.942,9.092,30.114,37.057,1.0,635.78537984,2.32,45.21,-17.85,0.22
MA,Mastercard Incorporated,Financial Services,United States,USD,487482064896.0,31.94615,72.82339,22.809,1.6584,0.66,232.076,282.059,45.876,60.836,1.0,487.482064896,0.2,22.07,-20.91,0.09
INTC,Intel Corporation,Technology,United States,USD,462383448064.0,,4.1335616,29.814,,,-10.715,48.997,-19.794,12.189999,1.0,462.383448064,2.58,77.69,-34.96,0.13
ABBV,AbbVie Inc.,Healthcare,United States,USD,453906759680.0,125.32195,-68.20016,17.443,0.4265,2.69,,,5.7860000000000005,32.156,1.0,453.90675968,0.01,26.02,-17.32,0.05
CSCO,"Cisco Systems, Inc.",Technology,United States,USD,451570171904.0,38.19,9.238771,27.421,1.5844,1.47,25.229000000000003,67.541,19.685,24.992001,1.0,451.570171904,0.86,32.83,-15.33,0.12
BAC,Bank of America Corporation,Financial Services,United States,USD,436026343424.0,14.34873,1.5792284,,1.0703,2.06,11.1990005,,29.524,38.305,1.0,436.026343424,0.67,21.82,-17.93,0.2
COST,Costco Wholesale Corporation,Consumer Defensive,United States,USD,422005571584.0,47.77008,25.526585,29.95,4.5364,0.63,29.152,60.257,3.01,3.6730002999999996,1.0,422.005571584,-0.11,19.84,-16.57,0.0
