ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,4911534178304.0,31.053598,25.127634,29.601,0.6282,0.49,114.28799999999998,6.555,62.966,65.596,1.0,4911.534178304,1.55,35.4,-20.21,0.16
AAPL,Apple Inc.,Technology,United States,USD,4644435656704.0,38.237,43.556473,29.128,2.5322,0.34,141.47099,79.548,27.152001999999996,32.275,1.0,4644.435656704,0.74,24.16,-13.8,0.14
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4379381596160.0,27.396183,9.082604,26.763,1.425,0.24,38.884997,20.026,37.919000000000004,36.120999999999995,1.0,4379.38159616,1.17,29.91,-20.37,0.17
MSFT,Microsoft Corporation,Technology,United States,USD,2855193018368.0,22.892195,6.891012,15.735,1.1817,0.95,34.013999,30.271,39.341998000000004,46.326,1.0,2855.193018368,0.55,27.19,-34.5,0.06
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2657436303360.0,32.08312,6.0117297,17.643,1.8344,,24.285,53.3,12.224,13.139999999999999,1.0,2657.43630336,1.15,31.06,-21.74,0.15
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2266281541632.0,38.02959,98.746864,5.561,1.3684,0.87,36.21,18.447,46.505,58.105,1.0,2266.281541632,2.04,39.53,-18.14,0.21
SPCX,Space Exploration Technologies ,Industrials,United States,USD,2004584366080.0,,25.547348,221.211,,,,73.597,-44.998002,-41.627997,1.0,2004.58436608,,,-29.85,0.1
AVGO,Broadcom Inc.,Technology,United States,USD,1908312899584.0,66.62956,21.763971,45.017,0.4369,0.67,37.280998,74.018,38.848,48.988,1.0,1908.312899584,1.87,46.94,-28.67,0.15
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1602963505152.0,22.962908,6.577026,14.716,0.8714,0.35,32.930002,35.608,32.836999999999996,40.617,1.0,1602.963505152,1.18,38.09,-33.3,0.12
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1526889447424.0,369.59088,18.566471,135.093,4.9381,,4.901,18.738,3.946,4.202999999999999,1.0,1526.889447424,1.86,44.8,-29.93,0.17
MU,"Micron Technology, Inc.",Technology,United States,USD,1119951388672.0,22.43022,15.437209,15.419,0.1394,0.06,66.63799999999999,6.33,55.906,80.370003,1.0,1119.951388672,3.13,75.95,-30.28,0.15
LLY,Eli Lilly and Company,Healthcare,United States,USD,1085204594688.0,43.138958,34.85265,30.99,1.5725,0.57,107.45899999999999,139.015,34.986,49.386,1.0,1085.204594688,0.46,38.78,-23.18,0.07
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1068613238784.0,14.745537,0.0009800035,-2.25,,,10.499,17.669,19.305,14.352,1.0,1068.613238784,0.04,14.56,-9.42,0.06
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,898895642624.0,16.051197,2.6131222,,1.7372,1.81,16.465001,,33.936,43.741,1.0,898.895642624,0.72,22.06,-15.47,0.21
WMT,Walmart Inc.,Consumer Defensive,United States,USD,892976037888.0,39.510563,9.470797,21.509,4.3037,0.88,24.132,74.816,3.1350000000000002,4.2150001999999995,1.0,892.976037888,-0.01,24.32,-18.91,0.03
