ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,5424535306240.0,34.29709,27.75217,32.502,0.5529,0.46,114.28799999999998,6.555,62.966,65.596,1.0,5424.53530624,1.61,36.67,-20.21,0.15
AAPL,Apple Inc.,Technology,United States,USD,4572794322944.0,35.93234,42.57201,27.276,2.4573,0.35,148.75101,78.445,27.618998,32.623002,1.0,4572.794322944,0.64,25.0,-13.8,0.12
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4333065732096.0,17.77722,6.961254,24.668,1.0234,0.25,48.676,18.859,54.771,34.033,1.0,4333.065732096,1.19,32.58,-21.05,0.14
MSFT,Microsoft Corporation,Technology,United States,USD,3712698548224.0,27.870121,8.394023,19.377,1.6106,0.73,34.039003,29.118,40.305,45.111000000000004,1.0,3712.698548224,0.71,32.16,-34.5,0.07
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2960627335168.0,22.06431,5.365549,18.147,1.4574,,30.558002000000002,45.617,17.44,13.689000000000002,1.0,2960.627335168,1.18,34.45,-21.74,0.13
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2178526609408.0,37.073257,87.59923,4.703,1.0096,0.91,39.969003,15.174,49.923,60.344005,1.0,2178.526609408,2.11,40.49,-21.55,0.21
AVGO,Broadcom Inc.,Technology,United States,USD,2035102646272.0,71.174706,23.209984,49.434,0.4376,0.62,37.280998,74.018,38.848,48.988,1.0,2035.102646272,1.93,47.79,-28.67,0.14
SPCX,Space Exploration Technologies ,Industrials,United States,USD,1753616089088.0,,13.785212,585.581,,,,31.211,-35.661998,-1.804,1.0,1753.616089088,3.26,111.6,-48.78,0.1
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1508378279936.0,22.301317,6.166873,13.906,0.8806,0.36,29.848000000000003,42.997,29.834998000000002,34.827000000000005,1.0,1508.378279936,1.12,38.4,-33.3,0.11
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1297742299136.0,301.44952,14.9388485,114.85,4.6818,,4.6669997,18.373,3.671,1.4099999,1.0,1297.742299136,1.95,46.41,-39.1,0.16
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1125446320128.0,15.53901,0.0010321239,-2.25,,,10.499,17.669,19.305,14.352,1.0,1125.446320128,0.03,14.4,-9.42,0.06
LLY,Eli Lilly and Company,Healthcare,United States,USD,1056890945536.0,39.788925,33.95796,26.443,1.5593,0.58,102.28600000000002,162.071,33.528998,54.222,1.0,1056.890945536,0.36,35.72,-23.18,0.07
MU,"Micron Technology, Inc.",Technology,United States,USD,991121571840.0,19.83209,9.8365755,14.24,0.1209,0.06,66.63799999999999,6.33,55.906,80.370003,1.0,991.12157184,3.35,81.2,-39.1,0.15
