ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,4718977351680.0,29.83614,24.142504,28.242,0.6081,0.51,114.28799999999998,6.555,62.966,65.596,1.0,4718.97735168,1.59,35.28,-20.21,0.16
AAPL,Apple Inc.,Technology,United States,USD,4532958920704.0,37.319225,42.511017,28.437,2.4938,0.35,141.47099,79.548,27.152001999999996,32.275,1.0,4532.958920704,0.75,24.17,-13.8,0.15
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4391827931136.0,27.474045,9.1084175,26.84,1.4171,0.24,38.884997,20.026,37.919000000000004,36.120999999999995,1.0,4391.827931136,1.18,29.92,-20.37,0.17
MSFT,Microsoft Corporation,Technology,United States,USD,2900729528320.0,23.257294,7.000914,15.982,1.1846,0.93,34.013999,30.271,39.341998000000004,46.326,1.0,2900.72952832,0.56,27.17,-34.5,0.06
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2610427854848.0,31.638851,5.9053855,17.342,1.8344,,24.285,53.3,12.224,13.139999999999999,1.0,2610.427854848,1.16,31.09,-21.74,0.15
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2251759550464.0,37.72024,97.535164,5.52,1.3991,0.88,36.21,18.447,46.505,58.105,1.0,2251.759550464,2.03,39.22,-18.14,0.21
SPCX,Space Exploration Technologies ,Industrials,United States,USD,2134218244096.0,,27.199463,241.32,,,,73.597,-44.998002,-41.627997,1.0,2134.218244096,,,-27.62,0.11
AVGO,Broadcom Inc.,Technology,United States,USD,1714869895168.0,59.875416,19.557787,41.825,0.4152,0.72,37.280998,74.018,38.848,48.988,1.0,1714.869895168,1.87,46.53,-28.67,0.14
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1479647035392.0,21.18866,6.071053,13.588,0.8856,0.36,32.930002,35.608,32.836999999999996,40.617,1.0,1479.647035392,1.17,37.57,-33.3,0.12
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1477689606144.0,357.68182,17.968216,130.658,6.2315,,4.901,18.738,3.946,4.202999999999999,1.0,1477.689606144,1.83,44.76,-29.93,0.16
MU,"Micron Technology, Inc.",Technology,United States,USD,1101790838784.0,22.076488,15.186886,15.862,0.1533,0.05,66.63799999999999,6.33,55.906,80.370003,1.0,1101.790838784,3.13,75.81,-30.28,0.15
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1095207223296.0,15.10351,0.0010043923,-2.25,,,10.499,17.669,19.305,14.352,1.0,1095.207223296,0.04,14.51,-9.42,0.06
LLY,Eli Lilly and Company,Healthcare,United States,USD,1082493829120.0,43.1076,34.765587,30.942,1.57,0.57,107.45899999999999,139.015,34.986,49.386,1.0,1082.49382912,0.49,38.65,-23.18,0.08
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,896216137728.0,16.00335,2.6053326,,1.7686,1.79,16.465001,,33.936,43.741,1.0,896.216137728,0.71,22.17,-15.47,0.21
WMT,Walmart Inc.,Consumer Defensive,United States,USD,890031505408.0,39.380283,9.439568,21.444,4.1408,0.89,24.132,74.816,3.1350000000000002,4.2150001999999995,1.0,890.031505408,0.0,24.45,-18.91,0.03
AMD,"Advanced Micro Devices, Inc.",Technology,United States,USD,844357632000.0,172.60667,13.093787,112.501,1.2404,,8.062999999999999,6.005,13.374,14.396,1.0,844.357632,2.78,68.18,-27.76,0.16
V,Visa Inc.,Financial Services,United States,USD,688678502400.0,31.544426,19.425491,22.991,1.5409,0.74,60.349,67.233,51.679003,67.34599999999999,1.0,688.6785024,0.3,21.67,-17.18,0.11
ASML,ASML Holding N.V. - New York Re,Technology,Netherlands,USD,681927180288.0,60.24242,1601.9049,2981.442,2.6453,0.5,52.236000000000004,12.989,29.713,36.020002,1.0,681.927180288,2.25,45.34,-17.85,0.22
JNJ,Johnson & Johnson,Healthcare,United States,USD,633194348544.0,30.479723,7.797243,19.407,5.0521,2.04,26.416,67.73,21.834,27.407999999999998,1.0,633.194348544,-0.01,18.28,-10.96,0.05
INTC,Intel Corporation,Technology,United States,USD,604879060992.0,,5.4267936,44.498,,,-2.911,36.028,-5.904,6.8790000000000004,1.0,604.879060992,2.47,76.26,-24.17,0.13
XOM,Exxon Mobil Corporation,Energy,United States,USD,568230805504.0,23.079124,2.2086709,10.964,1.1318,3.01,9.873,18.261,7.7649995999999994,6.3549999999999995,1.0,568.230805504,-0.37,24.54,-20.11,-0.05
AMAT,"Applied Materials, Inc.",Technology,United States,USD,478789271552.0,56.836945,20.025236,51.517,1.6444,0.35,39.692003,30.399,29.314,31.896,1.0,478.789271552,2.44,54.87,-21.37,0.19
MA,Mastercard Incorporated,Financial Services,United States,USD,476596305920.0,31.25087,71.197205,22.797,1.6075,0.65,232.076,282.059,45.876,60.836,1.0,476.59630592,0.25,21.57,-20.91,0.1
ABBV,AbbVie Inc.,Healthcare,United States,USD,461256622080.0,127.975494,-69.30449,17.544,0.4091,2.65,,,5.7860000000000005,32.156,1.0,461.25662208,0.08,25.87,-17.32,0.06
CSCO,"Cisco Systems, Inc.",Technology,United States,USD,444160278528.0,37.563335,9.087171,27.078,1.6238,1.49,25.229000000000003,67.541,19.685,24.992001,1.0,444.160278528,0.87,31.78,-13.57,0.13
CAT,"Caterpillar, Inc.",Industrials,United States,USD,443794194432.0,48.080338,23.784405,33.22,2.2855,0.68,51.331,230.793,13.328000000000001,18.180001,1.0,443.794194432,1.69,37.73,-13.88,0.22
LRCX,Lam Research Corporation,Technology,United States,USD,439463149568.0,66.17891,41.518196,55.869,2.2581,0.3,66.762,35.282,30.938998,35.042998,1.0,439.463149568,2.93,57.86,-20.01,0.22
COST,Costco Wholesale Corporation,Consumer Defensive,United States,USD,422045483008.0,47.846657,25.528997,30.483,4.5091,0.62,29.152,60.257,3.01,3.6730002999999996,1.0,422.045483008,-0.08,19.2,-15.5,0.01
